,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Jayson Tatum,0.578,12.1,21.1,5.0,4.6,0.169,35.9,9.3,20.6,0.453,0.526,4.4,26.9
Jaylen Brown,0.574,9.8,17.9,2.3,3.4,0.124,33.6,8.7,18.4,0.473,0.541,3.5,23.6
Marcus Smart,0.54,6.4,25.6,1.9,3.7,0.116,32.3,4.2,10.1,0.418,0.501,5.9,12.1
Robert Williams,0.745,17.6,9.7,6.0,3.9,0.262,29.6,4.4,6.0,0.736,0.736,2.0,10.0
Dennis Schröder,0.543,6.2,22.0,1.0,1.8,0.092,29.2,5.2,11.9,0.44,0.497,4.2,14.4
Al Horford,0.574,14.3,16.4,3.7,3.8,0.181,29.1,3.9,8.2,0.467,0.546,3.4,10.2
Derrick White,0.544,6.7,18.2,0.9,0.9,0.121,27.4,3.6,8.8,0.409,0.483,3.5,11.0
Josh Richardson,0.57,6.2,8.7,1.0,1.5,0.113,24.7,3.5,7.8,0.443,0.534,1.5,9.7
Grant Williams,0.635,7.9,5.7,2.4,2.6,0.13,24.4,2.7,5.6,0.475,0.597,1.0,7.8
Daniel Theis,0.658,13.5,8.0,0.9,0.7,0.19,18.7,3.2,5.3,0.598,0.643,1.0,7.9
Romeo Langford,0.52,7.7,3.6,0.2,1.0,0.084,16.5,1.8,4.2,0.429,0.508,0.4,4.7
Payton Pritchard,0.578,7.2,20.4,1.8,1.2,0.148,14.1,2.3,5.3,0.429,0.564,2.0,6.2
Enes Freedom,0.585,21.0,2.7,0.6,0.7,0.16,11.7,1.5,2.8,0.526,0.536,0.2,3.7
Aaron Nesmith,0.507,8.4,5.4,-0.4,0.9,0.038,11.0,1.4,3.5,0.396,0.481,0.4,3.8
Jabari Parker,0.632,13.5,7.9,0.1,0.2,0.141,9.3,1.5,3.2,0.474,0.579,0.5,4.4
Luke Kornet,0.582,15.9,13.5,0.3,0.2,0.239,7.1,1.0,1.8,0.571,0.571,0.7,2.2
Sam Hauser,0.65,9.9,9.1,0.4,0.2,0.171,6.1,0.9,1.9,0.46,0.65,0.4,2.5
Juancho Hernangómez,0.307,14.1,4.0,-0.3,0.2,-0.05,5.3,0.3,1.5,0.185,0.241,0.2,1.1
Matt Ryan,0.3,0.0,0.0,0.0,0.0,-0.25,5.0,1.0,5.0,0.2,0.3,0.0,3.0
Brodric Thomas,0.52,9.0,26.0,0.0,0.1,0.052,5.0,0.7,1.5,0.444,0.5,0.9,1.8
