,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Juwan Morgan,,0.0,0.0,0.0,0.0,0.024,4.0,0.0,0.0,,,0.0,0.0
Malik Fitts,0.75,13.5,28.6,0.2,0.0,0.348,3.5,0.8,1.3,0.6,0.75,0.6,1.9
Bruno Fernando,0.586,14.0,9.6,0.0,0.1,0.102,2.9,0.4,0.7,0.5,0.536,0.2,1.0
Nik Stauskas,0.509,0.0,9.4,0.0,0.0,-0.025,2.5,0.3,1.0,0.333,0.5,0.2,1.2
C.J. Miles,,0.0,0.0,0.0,0.0,0.03,2.0,0.0,0.0,,,0.0,0.0
Kelan Martin,0.0,18.0,0.0,-0.1,0.0,-0.382,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Joe Johnson,1.0,0.0,0.0,0.0,0.0,0.335,2.0,1.0,1.0,1.0,1.0,0.0,2.0
Justin Jackson,0.532,0.0,0.0,0.0,0.0,0.251,2.0,0.0,1.0,0.0,0.0,0.0,2.0
James Harden,0.601,10.5,41.4,2.3,0.9,0.197,37.7,5.5,13.6,0.402,0.483,10.5,21.0
Tyrese Maxey,0.594,5.1,19.1,5.4,1.9,0.132,35.3,6.4,13.3,0.485,0.552,4.3,17.5
Seth Curry,0.603,5.4,17.7,1.7,1.1,0.088,34.8,5.7,11.7,0.485,0.58,4.0,15.0
Tobias Harris,0.566,10.9,15.9,3.0,2.6,0.105,34.8,6.8,14.0,0.482,0.532,3.5,17.2
Joel Embiid,0.616,19.4,23.5,7.9,4.1,0.252,33.8,9.8,19.6,0.499,0.534,4.2,30.6
Matisse Thybulle,0.594,5.0,6.1,1.2,2.5,0.107,25.5,2.3,4.5,0.5,0.575,1.1,5.7
Georges Niang,0.594,6.5,8.7,1.5,1.3,0.077,22.8,3.2,7.4,0.437,0.575,1.3,9.2
Danny Green,0.561,6.5,6.5,0.3,1.6,0.067,21.8,2.0,5.2,0.394,0.555,1.0,5.9
Shake Milton,0.517,6.7,17.6,0.7,1.0,0.069,21.4,3.1,7.3,0.429,0.483,2.5,8.2
Furkan Korkmaz,0.502,6.9,13.1,0.1,1.1,0.041,21.1,2.7,7.0,0.387,0.469,1.9,7.6
Andre Drummond,0.544,26.8,16.0,0.7,2.2,0.153,18.4,2.6,4.9,0.538,0.538,2.0,6.1
DeAndre Jordan,0.615,24.0,5.6,0.3,0.3,0.131,13.4,2.0,3.4,0.593,0.593,0.5,4.6
Tyler Johnson,0.55,8.8,7.4,0.0,0.0,0.072,12.7,1.3,3.3,0.4,0.55,0.7,3.7
Paul Millsap,0.499,13.2,6.8,0.0,0.1,0.041,11.8,1.4,3.3,0.433,0.467,0.6,3.7
Isaiah Joe,0.519,5.1,8.1,0.0,0.4,0.035,11.1,1.1,3.2,0.35,0.477,0.6,3.6
Charlie Brown Jr.,0.365,10.7,4.1,-0.1,0.2,0.018,8.5,0.5,1.8,0.265,0.279,0.3,1.5
Paul Reed,0.568,17.0,8.3,0.6,0.7,0.212,7.9,1.4,2.5,0.563,0.573,0.4,3.1
Charles Bassey,0.66,20.6,6.5,0.4,0.3,0.22,7.3,1.3,2.0,0.638,0.638,0.3,3.0
Myles Powell,0.364,6.4,8.0,-0.2,0.0,-0.109,4.7,0.5,1.5,0.294,0.324,0.3,1.2
Braxton Key,0.5,18.6,25.7,0.0,0.0,-0.169,3.0,0.5,1.0,0.5,0.5,0.5,1.0
Willie Cauley-Stein,,18.6,20.4,0.0,0.0,0.136,3.0,0.0,0.0,,,0.5,0.0
Jaden Springer,1.0,18.6,0.0,0.0,0.0,0.138,3.0,0.5,0.5,1.0,1.0,0.0,1.0
Aaron Henry,0.2,3.3,0.0,-0.1,0.0,-0.306,2.8,0.2,0.8,0.2,0.2,0.0,0.3
Fred VanVleet,0.552,6.4,26.7,3.9,2.8,0.131,37.9,6.8,16.9,0.403,0.513,6.7,20.3
Pascal Siakam,0.565,12.2,23.0,4.9,3.2,0.151,37.9,8.8,17.8,0.494,0.525,5.3,22.8
OG Anunoby,0.549,8.3,11.0,1.8,1.9,0.104,36.0,6.4,14.5,0.443,0.526,2.6,17.1
Scottie Barnes,0.552,11.5,14.7,3.7,2.9,0.122,35.4,6.2,12.6,0.492,0.524,3.5,15.3
Gary Trent Jr.,0.546,4.2,8.8,3.1,2.5,0.11,35.0,6.4,15.5,0.414,0.511,2.0,18.3
Juwan Morgan,0.833,8.0,4.8,0.1,0.0,0.139,27.0,2.0,3.0,0.667,0.833,1.0,5.0
Precious Achiuwa,0.503,14.9,6.9,0.4,2.1,0.07,23.6,3.6,8.3,0.439,0.486,1.1,9.1
Chris Boucher,0.57,15.8,2.2,3.5,2.4,0.169,21.1,3.4,7.2,0.464,0.523,0.3,9.4
Tremont Waters,0.333,5.2,21.7,-0.1,0.1,-0.061,21.0,1.5,6.0,0.25,0.333,3.5,4.0
Thaddeus Young,0.526,13.1,13.6,0.5,0.8,0.127,18.3,2.6,5.5,0.465,0.524,1.7,6.3
Goran Dragić,0.521,8.4,14.4,0.2,0.1,0.162,18.0,2.6,6.8,0.382,0.441,1.8,8.0
Khem Birch,0.534,13.1,7.6,1.5,1.1,0.126,18.0,1.8,3.6,0.485,0.485,1.0,4.5
D.J. Wilson,0.773,16.1,14.6,0.2,0.1,0.328,13.5,2.8,3.8,0.733,0.733,1.3,7.5
Svi Mykhailiuk,0.509,7.0,8.8,0.1,0.7,0.052,12.8,1.6,4.2,0.389,0.476,0.8,4.6
Malachi Flynn,0.488,6.4,18.5,0.5,0.5,0.092,12.2,1.6,4.2,0.393,0.475,1.6,4.3
Armoni Brooks,0.437,7.7,11.0,0.0,0.2,0.067,11.8,0.8,2.9,0.289,0.421,1.0,2.6
Yuta Watanabe,0.524,11.2,6.6,0.1,0.6,0.075,11.7,1.5,3.6,0.406,0.504,0.6,4.3
Dalano Banton,0.463,9.7,19.8,-0.4,0.8,0.03,10.9,1.3,3.2,0.411,0.443,1.5,3.2
Daniel Oturu,0.549,10.0,0.0,0.0,0.0,0.121,9.0,1.0,2.0,0.5,0.5,0.0,3.0
Justin Champagnie,0.571,13.9,5.4,0.5,0.3,0.138,7.8,0.9,1.9,0.463,0.537,0.3,2.3
Isaac Bonga,0.363,5.5,7.3,-0.1,0.1,0.06,4.6,0.2,0.9,0.231,0.269,0.3,0.8
David Johnson,0.0,0.0,0.0,0.0,0.0,-0.495,1.0,0.0,0.5,0.0,0.0,0.0,0.0
Sam Dekker,,0.0,0.0,0.0,0.0,0.003,1.0,0.0,0.0,,,0.0,0.0
Kyrie Irving,0.592,6.3,25.2,2.4,0.9,0.147,37.6,10.0,21.2,0.469,0.55,5.8,27.4
Kevin Durant,0.634,10.8,29.1,6.4,2.0,0.198,37.2,10.5,20.3,0.518,0.57,6.4,29.9
James Harden,0.576,11.7,39.7,2.6,1.8,0.13,37.0,6.6,16.0,0.414,0.486,10.2,22.5
Joe Harris,0.624,7.2,4.5,0.3,0.2,0.06,30.2,4.0,8.9,0.452,0.617,1.0,11.3
Seth Curry,0.645,4.7,12.5,1.0,0.3,0.112,29.9,5.5,11.1,0.493,0.63,2.6,14.9
Patty Mills,0.563,3.6,10.6,1.9,0.9,0.058,29.0,4.0,9.8,0.408,0.551,2.3,11.4
Goran Dragić,0.46,6.8,24.7,-0.2,0.3,0.006,25.5,2.8,7.3,0.376,0.427,4.8,7.3
Bruce Brown,0.575,10.6,11.5,2.8,2.0,0.13,24.6,3.6,7.0,0.506,0.543,2.1,9.0
LaMarcus Aldridge,0.604,13.4,6.3,2.1,1.0,0.141,22.3,5.4,9.7,0.55,0.566,0.9,12.9
Andre Drummond,0.61,25.1,9.8,1.3,0.9,0.199,22.3,5.0,8.1,0.61,0.61,1.4,11.8
Nic Claxton,0.672,14.8,6.4,2.3,1.2,0.171,20.7,3.8,5.6,0.674,0.674,0.9,8.7
Kessler Edwards,0.516,9.5,4.1,-0.2,0.9,0.031,20.6,2.3,5.6,0.412,0.502,0.6,5.9
DeAndre' Bembry,0.609,8.7,8.5,1.1,1.1,0.108,19.8,2.5,4.4,0.568,0.603,1.3,5.8
James Johnson,0.513,9.8,14.5,0.6,1.1,0.068,19.2,2.3,5.0,0.469,0.507,2.1,5.5
Cam Thomas,0.519,7.5,9.7,0.0,0.8,0.033,17.6,3.3,7.5,0.433,0.48,1.2,8.5
Blake Griffin,0.518,13.0,15.0,1.2,0.9,0.106,17.1,2.4,5.6,0.425,0.486,1.9,6.4
David Duke Jr.,0.444,10.7,6.6,0.0,0.3,0.048,15.5,1.8,4.9,0.361,0.403,0.8,4.7
Langston Galloway,0.462,7.5,11.0,-0.1,0.0,-0.072,14.5,1.3,3.3,0.385,0.462,1.3,3.0
Day'Ron Sharpe,0.593,22.3,6.7,0.8,0.5,0.152,12.2,2.7,4.7,0.577,0.584,0.5,6.2
Jevon Carter,0.462,6.6,10.9,-0.4,0.4,-0.005,12.0,1.3,3.8,0.333,0.454,1.0,3.6
Shaquille Harrison,0.333,9.5,16.6,-0.1,0.0,-0.067,11.5,1.0,3.0,0.333,0.333,1.5,2.0
Paul Millsap,0.443,17.9,11.8,0.1,0.3,0.069,11.3,1.3,3.5,0.376,0.412,1.0,3.4
James Ennis III,0.357,19.4,0.0,0.0,0.0,0.034,7.0,1.0,3.5,0.286,0.357,0.0,2.5
Wenyen Gabriel,,54.5,0.0,0.0,0.0,0.167,1.0,0.0,0.0,,,0.0,0.0
Julius Randle,0.509,15.1,25.1,-0.3,3.4,0.059,35.3,7.1,17.3,0.411,0.459,5.1,20.1
RJ Barrett,0.511,9.1,14.9,0.1,2.2,0.046,34.5,7.0,17.1,0.408,0.466,3.0,20.0
Evan Fournier,0.554,4.8,11.9,1.5,2.2,0.075,29.5,5.0,12.1,0.417,0.541,2.1,14.1
Alec Burks,0.559,9.2,15.7,3.2,2.9,0.126,28.6,3.5,9.0,0.391,0.499,3.0,11.7
Mitchell Robinson,0.722,17.9,3.2,5.3,3.2,0.221,25.7,3.6,4.8,0.761,0.761,0.5,8.5
Kemba Walker,0.537,6.3,22.2,1.0,0.9,0.093,25.6,4.0,10.0,0.403,0.501,3.5,11.6
Derrick Rose,0.541,6.6,27.5,0.8,0.7,0.108,24.5,4.7,10.5,0.445,0.513,4.0,12.0
Immanuel Quickley,0.543,7.4,24.5,2.5,1.8,0.113,23.1,3.6,9.3,0.392,0.487,3.5,11.3
Nerlens Noel,0.581,13.5,5.7,0.4,1.0,0.128,22.5,1.3,2.4,0.533,0.533,0.9,3.4
Taj Gibson,0.606,13.0,4.9,1.4,1.2,0.135,18.2,1.7,3.2,0.518,0.563,0.6,4.4
Quentin Grimes,0.565,6.4,8.5,0.6,0.9,0.087,17.1,2.1,5.1,0.404,0.557,1.0,6.0
Obi Toppin,0.614,11.7,10.9,2.5,1.5,0.153,17.1,3.5,6.6,0.531,0.586,1.1,9.0
Cam Reddish,0.575,5.3,7.1,0.1,0.3,0.092,14.3,1.8,4.3,0.415,0.477,0.7,6.1
Jericho Sims,0.674,16.4,5.3,0.7,0.8,0.128,13.5,1.0,1.3,0.722,0.722,0.5,2.2
Damyean Dotson,0.5,5.1,6.9,0.0,0.0,0.045,10.5,1.0,2.0,0.5,0.5,0.5,2.0
Miles McBride,0.393,6.1,15.9,-0.1,0.4,0.032,9.3,0.8,2.7,0.296,0.375,1.0,2.2
Kevin Knox,0.529,10.7,4.2,0.0,0.1,0.062,8.5,1.2,3.1,0.375,0.5,0.2,3.6
Ryan Arcidiacono,0.667,5.7,7.5,0.0,0.1,0.052,7.6,0.6,1.2,0.5,0.667,0.4,1.6
Wayne Selden,0.434,2.8,7.2,0.0,0.0,0.016,6.3,0.3,1.3,0.25,0.375,0.3,1.7
Feron Hunt,0.0,6.7,16.0,-0.1,0.0,-0.234,4.0,0.0,1.0,0.0,0.0,0.5,0.0
Danuel House Jr.,0.0,0.0,0.0,0.0,0.0,-0.342,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Matt Mooney,0.0,0.0,0.0,-0.1,0.0,-0.915,2.0,0.0,1.0,0.0,0.0,0.0,0.0
Tyler Hall,,0.0,0.0,0.0,0.0,0.007,2.0,0.0,0.0,,,0.0,0.0
Jrue Holiday,0.593,7.2,31.8,4.5,2.4,0.15,33.0,7.1,14.2,0.501,0.57,6.8,18.3
Giannis Antetokounmpo,0.633,18.7,31.7,9.2,3.7,0.281,32.9,10.3,18.6,0.553,0.582,5.8,29.9
Khris Middleton,0.577,8.8,25.5,3.2,2.2,0.119,32.4,6.8,15.5,0.443,0.522,5.4,20.1
Bobby Portis,0.571,17.2,6.4,2.9,2.6,0.131,28.2,5.8,12.1,0.479,0.555,1.2,14.6
Grayson Allen,0.609,6.5,7.6,2.8,1.4,0.11,27.3,3.9,8.6,0.448,0.588,1.5,11.1
Pat Connaughton,0.62,8.6,6.6,2.8,1.6,0.125,26.0,3.5,7.6,0.458,0.605,1.3,9.9
George Hill,0.552,6.6,12.4,1.3,1.0,0.087,23.2,2.2,5.1,0.429,0.504,2.2,6.2
Brook Lopez,0.57,9.4,3.0,0.3,0.3,0.108,22.9,4.7,10.1,0.466,0.538,0.5,12.4
Rayjon Tucker,0.901,5.1,19.1,0.2,0.0,0.264,21.0,2.5,3.5,0.714,0.929,3.0,7.5
Wesley Matthews,0.536,4.9,4.6,0.6,0.6,0.056,20.4,1.8,4.5,0.395,0.516,0.7,5.1
Donte DiVincenzo,0.47,9.3,11.3,-0.4,0.3,-0.009,20.1,2.3,6.9,0.331,0.419,1.7,7.2
Jordan Nwora,0.506,9.9,7.0,-0.4,1.1,0.025,19.1,3.0,7.5,0.403,0.488,1.0,7.9
Serge Ibaka,0.601,15.7,5.4,0.5,0.4,0.128,17.8,2.8,5.5,0.519,0.582,0.7,7.0
Jevon Carter,0.679,6.5,18.8,0.9,0.3,0.167,17.7,2.0,4.0,0.506,0.658,2.5,5.6
DeMarcus Cousins,0.572,18.1,9.3,0.5,0.5,0.162,16.9,3.2,6.9,0.466,0.521,1.1,9.1
Langston Galloway,0.077,10.8,16.9,-0.2,0.0,-0.133,16.3,0.3,4.3,0.077,0.077,2.3,0.7
Semi Ojeleye,0.376,10.0,2.0,-0.1,0.2,0.011,15.4,0.9,3.5,0.257,0.336,0.3,2.9
Rodney Hood,0.47,6.1,6.5,0.1,0.4,0.042,14.9,1.2,3.4,0.351,0.443,0.8,3.3
Greg Monroe,0.52,15.9,4.0,0.1,0.1,0.119,14.0,2.2,4.4,0.5,0.5,0.4,5.4
Javonte Smart,0.34,6.3,10.9,-0.4,0.1,-0.071,12.3,0.8,3.3,0.256,0.302,1.1,2.4
Justin Robinson,0.415,3.5,13.7,-0.3,0.1,-0.03,11.6,1.1,3.4,0.316,0.404,1.2,2.8
Lindell Wigginton,0.524,6.7,15.7,0.0,0.1,0.044,10.5,1.4,3.2,0.426,0.5,1.2,4.2
Sandro Mamukelashvili,0.618,10.7,7.4,0.8,0.3,0.135,9.9,1.4,2.8,0.496,0.591,0.5,3.8
Thanasis Antetokounmpo,0.577,11.3,6.5,0.4,0.5,0.095,9.9,1.5,2.7,0.547,0.555,0.5,3.6
DeAndre' Bembry,0.375,7.6,9.4,0.0,0.1,0.053,9.6,0.4,1.0,0.375,0.375,0.8,0.8
Georgios Kalaitzakis,0.535,8.8,0.0,0.0,0.0,-0.01,5.3,0.6,1.2,0.455,0.545,0.0,1.8
Luke Kornet,0.0,17.7,0.0,0.0,0.0,-0.154,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Jeff Dowtin,0.0,0.0,0.0,0.0,0.0,-0.344,3.0,0.0,1.0,0.0,0.0,0.0,0.0
Javin DeLaurier,,17.7,0.0,0.0,0.0,0.26,3.0,0.0,0.0,,,0.0,0.0
DeMar DeRozan,0.59,8.0,23.3,7.0,1.8,0.154,36.1,10.2,20.2,0.504,0.521,4.9,27.9
Zach LaVine,0.605,7.4,20.8,4.5,1.3,0.12,34.7,8.4,17.7,0.476,0.554,4.5,24.4
Lonzo Ball,0.575,8.8,20.0,0.8,1.4,0.088,34.6,4.6,10.9,0.423,0.567,5.1,13.0
Nikola Vučević,0.533,18.7,15.2,1.4,3.2,0.09,33.1,7.5,15.8,0.473,0.518,3.2,17.6
Alex Caruso,0.528,7.3,18.5,0.7,1.2,0.082,28.0,2.5,6.2,0.398,0.48,4.0,7.4
Coby White,0.564,6.1,15.0,1.6,0.8,0.067,27.5,4.6,10.6,0.433,0.539,2.9,12.7
Ayo Dosunmu,0.596,5.7,16.5,1.7,1.3,0.069,27.4,3.6,6.9,0.52,0.585,3.3,8.8
Patrick Williams,0.637,9.2,4.8,0.6,0.3,0.099,24.8,3.2,6.0,0.529,0.603,0.9,9.0
Javonte Green,0.637,10.2,5.3,2.9,1.5,0.139,23.4,2.7,5.0,0.542,0.597,0.9,7.2
Derrick Jones Jr.,0.633,10.6,4.4,1.4,0.8,0.119,17.6,2.1,3.8,0.538,0.59,0.6,5.6
Tristan Thompson,0.575,16.3,5.1,0.6,0.4,0.126,16.3,2.3,4.0,0.565,0.565,0.6,5.7
Troy Brown Jr.,0.525,10.8,8.2,0.5,0.9,0.065,16.0,1.6,3.9,0.419,0.51,1.0,4.3
Alfonzo McKinnie,0.457,9.0,3.2,-0.2,0.1,-0.015,12.1,1.4,3.6,0.393,0.467,0.3,3.5
Matt Thomas,0.564,6.1,5.8,0.3,0.2,0.058,11.5,1.4,3.4,0.41,0.541,0.5,4.0
Malcolm Hill,0.568,9.8,5.6,0.2,0.1,0.091,10.4,1.2,2.8,0.432,0.545,0.4,3.4
Tyler Cook,0.643,14.9,2.0,0.4,0.2,0.127,10.0,1.2,1.9,0.605,0.605,0.2,3.4
Tony Bradley,0.6,19.1,6.7,0.6,0.7,0.112,10.0,1.3,2.2,0.585,0.585,0.5,3.0
Devon Dotson,0.538,6.0,23.9,0.1,0.0,0.048,7.7,1.0,2.1,0.478,0.522,1.4,2.6
Alize Johnson,0.537,16.7,8.6,0.1,0.1,0.063,7.6,0.8,1.4,0.522,0.522,0.5,1.8
Marko Simonovic,0.428,16.1,0.0,0.0,0.0,-0.011,3.9,0.4,1.7,0.267,0.3,0.0,1.9
Mac McClung,1.0,0.0,0.0,0.0,0.0,-0.251,3.0,1.0,1.0,1.0,1.0,0.0,2.0
Jordan Bell,,28.1,0.0,0.0,0.0,0.6,2.0,0.0,0.0,,,0.0,0.0
Darius Garland,0.576,5.1,39.9,3.8,2.5,0.125,35.7,8.0,17.3,0.462,0.536,8.6,21.7
Evan Mobley,0.549,13.5,11.6,1.5,3.7,0.107,33.8,6.1,12.0,0.508,0.522,2.5,15.0
Jarrett Allen,0.698,18.4,8.2,5.4,3.0,0.224,32.3,6.6,9.7,0.677,0.678,1.6,16.1
Lauri Markkanen,0.582,10.2,6.6,2.7,2.3,0.127,30.8,5.1,11.5,0.445,0.542,1.3,14.8
Caris LeVert,0.511,6.2,20.5,0.1,0.6,0.057,29.8,5.3,12.2,0.435,0.481,3.9,13.6
Isaac Okoro,0.589,5.6,8.5,2.4,1.9,0.103,29.6,3.1,6.4,0.48,0.544,1.8,8.8
Collin Sexton,0.523,6.3,11.9,-0.4,0.3,-0.009,28.7,6.2,13.7,0.45,0.487,2.1,16.0
Ricky Rubio,0.488,8.0,34.6,-0.1,1.4,0.064,28.5,4.4,12.1,0.363,0.434,6.6,13.1
Kevin Love,0.594,17.8,15.3,3.2,2.5,0.164,22.5,4.4,10.3,0.43,0.553,2.2,13.6
Cedi Osman,0.563,5.5,14.1,1.3,1.6,0.094,22.2,3.7,8.7,0.432,0.544,2.0,10.7
Rajon Rondo,0.567,8.0,35.3,0.5,0.5,0.119,19.5,2.1,5.0,0.429,0.538,4.9,6.2
Dean Wade,0.584,8.5,7.3,1.1,1.1,0.111,19.2,1.9,4.3,0.456,0.574,1.0,5.3
Lamar Stevens,0.544,8.9,6.5,0.4,1.2,0.078,16.1,2.5,5.1,0.489,0.517,0.7,6.1
Justin Anderson,0.666,7.1,17.3,0.1,0.0,0.124,15.7,1.3,2.7,0.5,0.625,2.0,4.3
Brandon Goodwin,0.501,7.4,26.0,0.1,0.7,0.069,13.9,1.8,4.3,0.416,0.477,2.5,4.8
Moses Brown,0.636,23.2,0.0,0.4,0.3,0.207,12.6,2.6,4.1,0.638,0.638,0.0,6.4
Denzel Valentine,0.516,10.3,7.6,-0.1,0.2,0.045,9.3,1.0,2.8,0.371,0.516,0.5,2.9
Dylan Windler,0.519,10.7,10.0,0.2,0.6,0.084,9.2,0.7,2.0,0.378,0.485,0.7,2.2
Malik Newman,0.68,6.9,27.8,0.0,0.0,0.179,8.0,3.0,5.0,0.6,0.6,1.0,8.0
Luke Kornet,0.316,11.1,8.8,0.0,0.0,0.008,7.5,0.5,2.5,0.2,0.2,0.5,2.0
Kevin Pangos,0.408,3.7,24.6,-0.1,0.1,0.016,6.9,0.6,1.9,0.326,0.391,1.3,1.6
Ed Davis,0.632,17.6,4.5,0.2,0.3,0.126,6.5,0.4,0.5,0.688,0.688,0.2,0.9
Tre Scott,0.5,10.1,0.0,0.0,0.0,0.138,5.5,1.5,3.0,0.5,0.5,0.0,3.0
Tacko Fall,0.398,21.6,4.6,-0.1,0.1,0.043,5.4,0.5,1.1,0.417,0.417,0.2,1.1
RJ Nembhard Jr.,0.38,6.1,26.1,0.0,0.0,0.01,4.5,0.4,1.3,0.333,0.333,0.9,1.1
Tim Frazier,0.5,0.0,17.9,-0.1,0.0,-0.283,4.0,0.5,1.0,0.5,0.5,0.5,1.0
Tyrese Haliburton,0.629,6.7,38.9,2.5,0.6,0.156,36.1,6.2,12.4,0.502,0.59,9.6,17.5
Buddy Hield,0.563,8.0,20.3,0.8,0.3,0.059,35.6,7.0,15.6,0.447,0.546,4.8,18.2
Domantas Sabonis,0.649,19.4,22.2,4.4,1.3,0.168,34.7,7.0,12.1,0.58,0.61,5.0,18.9
Malcolm Brogdon,0.557,8.6,26.9,2.2,0.4,0.106,33.5,6.8,15.1,0.448,0.501,5.9,19.1
Caris LeVert,0.53,6.9,22.8,1.1,0.4,0.06,31.1,7.1,15.9,0.447,0.496,4.4,18.7
Myles Turner,0.615,13.4,5.1,1.7,1.4,0.12,29.4,4.8,9.4,0.509,0.587,1.0,12.9
Justin Holiday,0.568,5.3,8.8,1.0,0.3,0.047,28.9,3.9,9.3,0.415,0.553,1.8,11.0
Chris Duarte,0.537,8.2,10.9,0.2,0.7,0.029,28.0,4.9,11.3,0.432,0.507,2.1,13.1
Jalen Smith,0.628,17.3,5.1,1.3,0.4,0.15,24.7,5.1,9.7,0.531,0.603,0.8,13.4
T.J. McConnell,0.525,7.7,28.7,1.0,0.4,0.098,24.1,3.7,7.7,0.481,0.505,4.9,8.5
Oshae Brissett,0.53,12.8,6.4,1.4,0.9,0.069,23.3,3.1,7.6,0.411,0.493,1.1,9.1
Terry Taylor,0.656,13.4,8.6,2.2,0.2,0.16,21.6,4.1,6.7,0.614,0.641,1.2,9.6
Justin Anderson,0.475,8.3,13.6,0.1,0.1,0.041,20.7,2.5,6.7,0.368,0.443,2.1,6.8
Torrey Craig,0.555,10.5,7.7,0.8,0.4,0.056,20.3,2.5,5.5,0.456,0.537,1.1,6.5
Duane Washington Jr.,0.521,4.8,13.0,-0.2,0.2,-0.002,20.2,3.6,8.9,0.405,0.5,1.8,9.9
Lance Stephenson,0.542,8.4,31.2,0.5,0.3,0.055,18.6,3.6,7.8,0.458,0.502,3.9,9.3
Keifer Sykes,0.456,4.4,14.9,-0.5,0.1,-0.04,17.7,2.2,5.9,0.363,0.434,1.9,5.6
Tristan Thompson,0.527,15.2,4.6,0.0,0.0,0.013,16.5,3.3,6.0,0.542,0.542,0.5,7.3
Kelan Martin,0.492,6.7,6.8,-0.1,0.2,0.01,16.4,2.6,6.2,0.417,0.482,0.8,6.3
Jeremy Lamb,0.524,8.5,11.6,0.5,0.4,0.07,15.7,2.2,5.8,0.373,0.458,1.3,7.1
Isaiah Jackson,0.607,15.4,2.9,0.7,0.7,0.126,15.0,3.2,5.7,0.563,0.575,0.3,8.3
Goga Bitadze,0.595,13.5,11.2,1.3,0.6,0.122,14.6,2.6,5.0,0.52,0.565,1.1,7.0
Brad Wanamaker,0.465,6.7,21.4,-0.2,0.1,-0.016,13.3,1.2,3.3,0.361,0.389,2.2,3.5
Gabe York,0.435,5.3,25.1,0.0,0.0,0.059,10.5,1.0,3.5,0.286,0.357,2.0,4.0
Reggie Perry,1.0,5.6,0.0,0.0,0.0,0.077,10.0,1.0,1.0,1.0,1.0,0.0,2.0
DeJon Jarreau,,0.0,0.0,0.0,0.0,-0.022,1.0,0.0,0.0,,,0.0,0.0
Nate Hinton,0.0,0.0,0.0,-0.1,0.0,-1.231,1.0,0.0,0.5,0.0,0.0,0.0,0.0
Ahmad Caver,1.0,0.0,0.0,0.0,0.0,1.204,1.0,1.0,1.0,1.0,1.0,0.0,2.0
Derrick Walton,0.342,5.0,26.4,-0.3,0.1,-0.071,36.0,2.0,8.7,0.231,0.288,7.0,6.3
Saddiq Bey,0.529,8.8,13.8,2.4,1.6,0.071,33.0,5.5,13.9,0.396,0.489,2.8,16.1
