,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Tom McMillen,0.519,7.5,4.6,1.2,1.4,0.082,22.4,3.7,7.7,0.472,0.472,0.8,8.9
Frank Johnson,0.535,3.8,22.1,0.9,1.1,0.101,20.1,3.8,7.8,0.489,0.497,3.1,9.3
Darren Daye,0.566,9.5,21.0,1.8,2.1,0.117,19.7,3.2,6.3,0.512,0.513,3.0,8.7
Dudley Bradley,0.536,6.0,18.1,0.3,2.1,0.093,16.9,1.9,4.1,0.475,0.508,2.4,4.9
Don Collins,0.421,11.5,10.1,-0.1,0.2,0.025,8.3,1.1,3.1,0.353,0.353,0.6,2.9
Charles Davis,0.298,7.9,4.4,-0.1,0.0,-0.127,7.0,0.5,2.5,0.2,0.2,0.3,1.8
Guy Williams,0.468,12.5,11.7,0.0,0.2,0.05,5.7,1.4,3.0,0.46,0.468,0.4,2.9
Tom Sewell,0.265,2.5,8.8,-0.5,0.1,-0.201,4.1,0.4,1.7,0.25,0.25,0.3,1.0
Bernard King,0.585,8.9,18.6,5.7,1.5,0.166,37.5,12.6,23.7,0.53,0.531,3.7,32.9
Pat Cummings,0.556,14.5,7.9,1.3,2.0,0.077,32.8,6.5,12.7,0.514,0.514,1.7,15.8
Louis Orr,0.552,9.2,7.6,2.9,1.9,0.093,31.0,4.7,9.7,0.486,0.486,1.7,12.7
Darrell Walker,0.483,6.5,23.6,0.5,2.3,0.054,30.4,5.2,12.1,0.435,0.435,5.0,13.5
Rory Sparrow,0.539,4.3,33.6,3.1,1.2,0.091,29.0,4.1,8.4,0.492,0.498,7.1,9.9
Trent Tucker,0.521,6.0,15.5,2.1,1.2,0.086,23.6,3.8,7.9,0.483,0.507,2.6,8.5
Ken Bannister,0.481,13.6,3.9,-2.2,1.4,-0.028,18.7,2.8,5.9,0.47,0.47,0.5,6.8
Butch Carter,0.512,4.3,18.7,0.1,0.8,0.032,18.5,3.1,6.9,0.45,0.461,2.4,7.9
James Bailey,0.485,15.4,4.0,-0.8,1.4,0.021,17.5,2.1,4.7,0.447,0.447,0.5,5.2
Truck Robinson,0.34,14.9,10.6,-0.1,0.0,-0.082,17.5,1.0,2.5,0.4,0.4,1.5,2.0
Eddie Lee Wilkins,0.52,16.6,2.4,-0.2,1.0,0.043,17.0,2.1,4.3,0.498,0.498,0.3,5.5
Ernie Grunfeld,0.529,8.3,14.4,1.5,0.9,0.111,15.4,2.7,5.6,0.49,0.492,1.5,6.6
Ron Cavenall,0.378,14.7,3.5,-1.0,0.7,-0.016,12.3,0.5,1.6,0.326,0.326,0.4,1.5
Sidney Moncrief,0.565,7.9,20.1,7.3,3.9,0.197,37.5,7.7,15.9,0.483,0.487,5.2,21.7
Paul Pressey,0.577,8.3,25.8,5.2,4.4,0.16,36.0,6.0,11.6,0.517,0.521,6.8,16.1
Terry Cummings,0.536,14.6,13.5,5.6,5.1,0.189,34.5,9.6,19.4,0.495,0.495,2.9,23.6
Craig Hodges,0.552,4.1,18.5,3.2,2.9,0.115,30.4,4.4,8.9,0.49,0.523,4.3,10.6
Alton Lister,0.559,17.2,8.1,1.0,4.3,0.121,25.8,4.0,7.4,0.538,0.538,1.6,9.9
Mike Dunleavy,0.572,4.0,26.1,0.4,0.5,0.105,22.8,3.4,7.1,0.474,0.533,4.5,8.9
Paul Mokeski,0.511,14.3,8.1,0.7,2.6,0.102,20.1,2.6,5.4,0.478,0.478,1.3,6.2
Ricky Pierce,0.599,7.4,15.0,1.8,1.2,0.162,20.0,3.8,7.0,0.537,0.539,2.1,9.8
Kevin Grevey,0.505,4.8,10.8,0.9,1.3,0.086,15.2,2.4,5.4,0.448,0.458,1.2,6.1
Paul Thompson,0.442,10.3,12.3,0.0,0.4,0.083,14.2,2.6,6.6,0.39,0.39,1.3,6.6
Randy Breuer,0.554,13.1,4.9,1.1,1.9,0.133,13.9,2.1,4.1,0.511,0.511,0.5,5.3
Charles Davis,0.472,11.1,9.6,0.0,1.1,0.067,13.1,2.6,6.1,0.436,0.438,0.9,6.2
Kenny Fields,0.471,8.7,9.6,0.1,0.6,0.06,10.5,1.6,3.7,0.44,0.44,0.7,3.8
Larry Micheaux,0.541,14.3,9.5,0.2,0.3,0.154,9.5,0.9,1.9,0.486,0.486,0.7,2.6
Mark West,0.532,9.2,0.0,0.0,0.0,-0.207,6.0,0.0,1.0,0.0,0.0,0.0,2.0
Lorenzo Romar,0.125,0.0,14.9,-0.1,0.0,-0.231,4.0,0.3,2.0,0.125,0.125,0.5,0.5
Chris Engler,0.0,18.5,0.0,0.0,0.0,-0.338,3.0,0.0,2.0,0.0,0.0,0.0,0.0
David Thirdkill,0.717,6.9,0.0,0.1,0.0,0.195,2.7,0.5,0.7,0.75,0.75,0.0,1.2
Isiah Thomas,0.529,6.1,47.9,7.5,3.6,0.173,38.1,8.0,17.4,0.458,0.468,13.9,21.2
Bill Laimbeer,0.548,18.3,7.0,5.6,4.1,0.162,35.3,7.3,14.4,0.506,0.507,1.9,17.5
Kelly Tripucka,0.548,6.8,11.0,2.8,1.4,0.121,30.5,7.2,15.1,0.477,0.478,2.5,19.1
John Long,0.518,5.4,9.8,1.8,1.6,0.087,27.6,6.5,13.4,0.487,0.49,2.0,14.7
Dan Roundfield,0.524,15.8,8.4,0.9,1.8,0.087,26.6,4.2,9.0,0.467,0.467,1.8,10.9
Vinnie Johnson,0.5,6.3,20.3,2.5,1.7,0.097,25.5,5.2,11.5,0.454,0.457,4.0,12.8
Terry Tyler,0.516,11.0,4.1,2.2,2.3,0.108,24.4,5.1,10.4,0.494,0.494,0.8,11.6
Earl Cureton,0.505,13.3,6.0,0.0,2.0,0.06,20.3,2.6,5.3,0.484,0.484,1.0,6.1
Kent Benson,0.545,12.1,8.0,1.5,1.9,0.113,19.5,2.8,5.5,0.506,0.506,1.3,6.6
David Thirdkill,0.521,3.6,1.0,-0.2,0.1,-0.054,11.5,1.2,2.3,0.522,0.522,0.1,2.9
Tony Campbell,0.54,7.4,5.1,-0.2,0.6,0.031,11.2,2.3,4.7,0.496,0.496,0.4,5.6
Brook Steppe,0.565,6.1,9.3,0.6,0.4,0.097,9.0,1.5,3.3,0.466,0.466,0.7,4.7
Major Jones,0.589,16.0,4.2,0.2,0.5,0.081,8.9,1.0,1.9,0.552,0.552,0.3,2.7
Lorenzo Romar,0.441,0.0,31.4,-0.1,0.1,0.0,7.0,0.4,1.6,0.25,0.25,2.0,1.8
Sidney Lowe,0.286,1.7,28.6,0.0,0.0,-0.049,5.2,0.3,1.2,0.286,0.286,1.3,0.7
Dale Wilkinson,0.0,7.4,0.0,0.0,0.0,-0.197,3.5,0.0,1.0,0.0,0.0,0.0,0.0
Terry Teagle,0.5,0.0,0.0,0.0,0.0,-0.213,2.5,0.5,1.0,0.5,0.5,0.0,1.0
Michael Jordan,0.592,9.8,25.3,10.3,3.7,0.213,38.3,10.2,19.8,0.515,0.518,5.9,28.2
Orlando Woolridge,0.608,8.9,7.6,7.4,1.6,0.153,36.6,8.8,15.9,0.554,0.554,1.8,22.9
Quintin Dailey,0.517,5.7,14.6,1.4,1.2,0.059,26.6,6.6,14.1,0.473,0.476,2.4,16.0
Dave Corzine,0.534,11.9,9.2,1.3,1.6,0.067,25.1,3.4,6.9,0.486,0.486,1.7,8.5
Dave Greenwood,0.497,14.8,6.6,0.6,1.4,0.065,25.0,2.5,5.4,0.458,0.458,1.3,6.1
Steve Johnson,0.593,15.3,5.5,1.4,1.7,0.09,22.4,3.8,7.0,0.545,0.545,0.9,10.0
Caldwell Jones,0.523,13.8,4.7,0.1,0.8,0.048,21.1,1.3,2.7,0.461,0.461,0.8,3.4
Ennis Whatley,0.497,4.2,35.7,-0.1,0.9,0.029,19.8,2.0,4.5,0.447,0.449,5.4,5.0
Wes Matthews,0.523,2.5,31.1,0.7,0.9,0.049,19.5,2.4,4.9,0.495,0.497,4.5,5.7
Jawann Oldham,0.495,13.8,4.0,-0.2,1.3,0.05,15.8,1.4,3.0,0.464,0.464,0.5,3.4
Sidney Green,0.503,19.3,5.4,-0.2,0.8,0.039,15.4,2.3,5.2,0.432,0.432,0.6,6.1
Rod Higgins,0.497,9.0,10.4,0.4,0.5,0.049,13.9,1.8,4.0,0.441,0.459,1.1,4.5
Charles Jones,0.602,12.0,4.3,0.0,0.0,-0.001,9.7,0.7,1.3,0.5,0.5,0.3,2.7
Chris Engler,0.5,38.6,0.0,0.0,0.0,-0.225,1.0,0.3,0.7,0.5,0.5,0.0,0.7
World B. Free,0.529,5.1,23.5,4.5,1.4,0.127,31.7,8.6,18.7,0.459,0.485,4.5,22.5
Roy Hinson,0.551,13.8,4.3,2.0,3.0,0.103,30.8,6.1,12.2,0.503,0.503,0.9,15.8
John Bagley,0.524,6.6,39.4,2.3,2.3,0.092,29.6,4.2,8.6,0.488,0.49,8.6,9.9
Phil Hubbard,0.578,11.5,7.3,3.7,2.0,0.121,29.6,5.5,10.8,0.505,0.505,1.5,15.8
Johnny Davis,0.51,3.4,31.6,2.3,0.8,0.076,25.3,4.4,10.4,0.426,0.434,5.6,12.4
Melvin Turpin,0.541,12.6,2.7,1.1,2.0,0.075,24.7,4.6,9.0,0.511,0.511,0.5,10.6
Jeff Cook,0.466,12.8,6.8,0.2,0.3,0.056,24.4,2.6,5.8,0.438,0.438,1.3,6.1
Lonnie Shelton,0.462,11.6,10.3,-0.4,1.3,0.036,21.8,2.8,6.4,0.435,0.435,1.7,6.4
Paul Thompson,0.46,8.8,12.1,-0.2,0.9,0.047,21.7,4.5,10.7,0.418,0.427,1.8,10.5
Ben Poquette,0.514,15.5,6.4,1.4,2.1,0.102,21.0,2.7,5.8,0.46,0.463,1.0,6.7
Edgar Jones,0.506,13.2,3.6,0.0,0.5,0.046,17.2,3.3,7.1,0.467,0.467,0.4,8.2
Michael Wilson,0.573,5.6,19.0,0.2,0.2,0.104,15.9,2.5,4.9,0.5,0.5,2.2,7.0
Ron Anderson,0.484,9.2,9.1,0.0,0.3,0.032,14.4,2.3,5.4,0.431,0.433,0.9,5.8
Mark West,0.549,15.3,2.2,0.1,1.0,0.06,13.6,1.6,3.0,0.549,0.549,0.2,3.9
Geoff Huston,0.494,0.6,33.1,0.0,0.0,-0.002,11.6,1.5,3.1,0.48,0.48,2.9,3.3
Kevin Williams,0.503,8.3,20.0,-0.3,0.4,0.017,9.0,1.3,2.9,0.433,0.433,1.3,3.5
Campy Russell,0.361,11.3,15.7,-0.1,0.0,-0.246,8.0,0.7,2.3,0.286,0.286,1.0,2.0
Robert Smith,0.374,4.5,18.4,-0.1,0.0,-0.034,6.9,0.6,2.4,0.235,0.235,1.0,2.3
Butch Graves,0.305,9.8,13.1,-0.1,0.0,-0.243,2.8,0.5,1.5,0.333,0.333,0.3,1.3
Dominique Wilkins,0.514,10.1,11.3,4.1,3.5,0.121,37.3,10.5,23.3,0.451,0.458,2.5,27.4
Eddie Johnson,0.546,4.4,35.4,2.8,1.4,0.084,32.4,6.2,13.0,0.479,0.49,7.8,16.3
Doc Rivers,0.561,5.5,27.2,3.4,3.0,0.143,30.8,4.8,10.2,0.476,0.487,5.9,14.1
Charlie Criss,0.458,6.7,23.7,-0.1,0.1,-0.012,28.8,1.8,4.3,0.412,0.412,5.5,4.5
Randy Wittman,0.549,3.4,15.1,0.9,0.7,0.065,28.5,4.6,8.6,0.531,0.534,3.0,9.9
Cliff Levingston,0.56,15.4,7.1,2.0,2.8,0.113,27.3,3.9,7.5,0.527,0.527,1.4,9.8
Sly Williams,0.48,10.6,16.1,-0.4,1.0,0.03,25.5,4.9,11.2,0.439,0.445,2.8,12.3
Tree Rollins,0.578,13.8,3.9,1.1,2.7,0.105,25.0,2.7,4.8,0.549,0.549,0.7,6.3
Kevin Willis,0.497,16.0,2.9,0.4,2.2,0.072,21.8,3.9,8.4,0.467,0.468,0.4,9.3
Antoine Carr,0.578,10.6,9.5,0.6,1.5,0.084,19.3,3.2,6.0,0.528,0.531,1.3,8.0
Mike Glenn,0.615,3.9,16.3,2.3,0.7,0.126,18.8,3.8,6.5,0.588,0.588,2.0,8.6
Walker Russell,0.589,5.8,22.5,-0.2,0.4,0.029,18.0,1.6,3.0,0.54,0.548,3.1,4.0
Scott Hastings,0.539,10.6,7.3,0.4,0.9,0.075,12.9,1.4,2.9,0.473,0.473,0.7,3.8
Jerry Eaves,0.637,0.0,13.8,0.0,0.0,0.0,12.3,1.0,2.0,0.5,0.5,1.3,3.7
Rickey Brown,0.439,15.0,4.0,-0.6,1.0,0.024,11.8,1.1,2.8,0.406,0.406,0.4,2.8
Sidney Lowe,0.51,5.2,32.3,0.1,0.2,0.09,10.6,0.5,1.3,0.4,0.4,2.8,1.6
Stewart Granger,0.39,3.6,16.3,-0.3,0.1,-0.125,10.2,0.7,1.9,0.353,0.353,1.3,1.8
Leo Rautins,0.0,9.1,28.8,0.0,0.0,-0.126,3.0,0.0,0.5,0.0,0.0,0.8,0.0
Herb Williams,0.505,13.1,15.0,-1.0,3.1,0.041,34.1,7.7,16.1,0.475,0.475,3.4,18.3
Clark Kellogg,0.557,15.6,15.3,3.1,3.0,0.119,31.8,7.3,14.4,0.505,0.509,3.2,18.6
Vern Fleming,0.526,6.9,14.0,1.3,2.0,0.063,31.1,5.4,11.5,0.47,0.47,3.1,14.1
Steve Stipanovich,0.544,14.0,12.2,2.0,3.0,0.104,28.2,5.0,10.6,0.475,0.476,2.4,13.7
