,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Kawhi Leonard,0.606,11.6,16.4,6.1,3.4,0.224,34.0,9.3,18.8,0.496,0.546,3.3,26.6
Kyle Lowry,0.562,7.6,34.8,3.6,3.0,0.144,34.0,4.7,11.4,0.411,0.518,8.7,14.2
Pascal Siakam,0.628,11.6,14.6,5.7,3.6,0.175,31.9,6.5,11.8,0.549,0.591,3.1,16.9
Danny Green,0.632,7.7,7.7,3.0,2.9,0.128,27.7,3.7,7.9,0.465,0.622,1.6,10.3
Fred VanVleet,0.539,5.1,23.9,2.4,1.9,0.117,27.5,3.8,9.4,0.41,0.503,4.8,11.0
Serge Ibaka,0.582,16.1,7.7,2.8,3.3,0.146,27.2,6.3,11.9,0.529,0.557,1.3,15.0
Marc Gasol,0.565,14.3,21.2,0.9,1.2,0.157,24.9,3.3,7.2,0.465,0.527,3.9,9.1
OG Anunoby,0.544,7.9,4.7,0.3,1.7,0.07,20.2,2.7,6.0,0.453,0.536,0.7,7.0
Jeremy Lin,0.464,7.5,15.7,-0.3,0.5,0.02,18.8,2.5,6.7,0.374,0.41,2.2,7.0
Jonas Valančiūnas,0.639,20.6,8.5,1.6,1.1,0.224,18.8,5.0,8.6,0.575,0.593,1.0,12.8
Norman Powell,0.596,6.7,11.6,1.0,1.4,0.102,18.8,3.2,6.7,0.483,0.568,1.5,8.6
Delon Wright,0.527,7.5,16.8,1.0,1.3,0.123,18.3,2.6,6.0,0.433,0.485,2.2,6.9
C.J. Miles,0.484,6.5,5.2,-0.3,0.7,0.035,14.1,1.8,5.2,0.34,0.444,0.6,5.5
Patrick McCaw,0.569,7.1,9.8,0.2,0.5,0.096,13.2,0.9,2.1,0.444,0.519,1.0,2.7
Jodie Meeks,0.647,6.2,11.5,0.2,0.1,0.153,13.0,2.6,4.9,0.538,0.641,1.0,6.4
Greg Monroe,0.487,19.9,5.4,-0.1,0.7,0.071,11.1,1.9,4.2,0.46,0.46,0.4,4.8
Eric Moreland,0.5,24.1,13.3,-0.1,0.1,0.026,9.5,0.8,1.8,0.429,0.5,1.0,1.8
Lorenzo Brown,0.38,7.9,17.3,-0.5,0.3,-0.027,8.2,0.9,2.7,0.324,0.366,1.1,2.1
Malcolm Miller,0.63,4.0,2.1,0.1,0.1,0.13,6.7,1.1,2.6,0.423,0.615,0.1,3.5
Chris Boucher,0.563,18.5,1.9,0.2,0.4,0.194,5.8,1.2,2.7,0.447,0.526,0.1,3.3
Malachi Richardson,0.481,6.8,0.0,-0.2,0.1,-0.06,4.7,0.4,1.3,0.31,0.448,0.0,1.4
Jordan Loyd,0.635,8.8,15.1,0.2,0.0,0.19,4.6,0.7,1.5,0.444,0.556,0.5,2.4
Tobias Harris,0.562,11.9,12.6,1.2,0.9,0.105,35.0,6.9,14.8,0.469,0.524,2.9,18.2
Ben Simmons,0.582,13.7,34.2,4.6,3.6,0.146,34.2,6.8,12.2,0.563,0.563,7.7,16.9
Robert Covington,0.578,8.1,4.3,0.0,0.7,0.077,33.8,3.8,9.0,0.427,0.556,1.1,11.3
Joel Embiid,0.593,21.4,18.4,4.9,3.8,0.194,33.7,9.1,18.7,0.484,0.517,3.7,27.5
Jimmy Butler,0.569,8.4,18.0,4.4,2.1,0.172,33.2,6.3,13.6,0.461,0.494,4.0,18.2
JJ Redick,0.602,4.1,12.9,4.6,1.2,0.118,31.3,5.9,13.5,0.44,0.557,2.7,18.1
Dario Šarić,0.496,11.5,8.9,-0.1,0.3,0.023,30.5,3.7,10.2,0.364,0.443,2.0,11.1
Wilson Chandler,0.561,9.4,9.9,0.6,0.9,0.074,26.4,2.5,5.8,0.44,0.551,2.0,6.7
Mike Scott,0.537,8.3,4.6,0.2,0.5,0.052,24.0,2.8,7.0,0.4,0.529,0.8,7.8
Markelle Fultz,0.452,8.7,19.5,-0.1,0.4,0.035,22.5,3.4,8.2,0.419,0.432,3.1,8.2
Mike Muscala,0.56,10.2,7.9,0.9,1.0,0.087,22.1,2.3,5.9,0.392,0.514,1.3,7.4
Landry Shamet,0.606,3.7,7.4,1.6,0.6,0.096,20.5,2.8,6.4,0.441,0.584,1.1,8.3
Corey Brewer,0.484,6.4,10.0,-0.1,0.2,0.044,20.0,2.9,7.0,0.408,0.449,1.4,7.6
T.J. McConnell,0.555,6.3,24.7,1.2,1.7,0.094,19.3,2.9,5.5,0.525,0.542,3.4,6.4
