,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Reggie Lewis,0.55,7.1,9.0,5.6,3.5,0.143,37.4,8.6,17.0,0.503,0.505,2.3,20.8
Larry Bird,0.547,14.4,26.9,3.0,2.5,0.159,36.9,7.8,16.8,0.466,0.5,6.8,20.2
Kevin Gamble,0.567,6.3,12.5,4.5,2.2,0.129,30.4,5.9,11.1,0.529,0.534,2.7,13.5
Robert Parish,0.571,17.0,4.4,3.8,3.6,0.155,28.9,5.9,11.1,0.535,0.535,0.9,14.1
Dee Brown,0.472,4.9,25.6,0.2,0.8,0.055,28.5,4.8,11.3,0.426,0.433,5.3,11.7
Brian Shaw,0.482,8.7,27.8,0.2,0.5,0.078,25.6,4.1,9.6,0.427,0.427,5.2,10.3
Kevin McHale,0.553,13.0,8.8,2.5,1.5,0.136,25.0,5.8,11.3,0.509,0.509,1.5,13.9
John Bagley,0.478,5.1,35.9,0.6,1.4,0.053,23.9,3.1,6.9,0.441,0.451,6.6,7.2
Ed Pinckney,0.625,16.2,4.1,4.8,2.7,0.187,23.7,2.5,4.7,0.537,0.537,0.8,7.6
Rick Fox,0.531,7.9,11.1,0.4,1.9,0.073,19.0,3.0,6.5,0.459,0.481,1.6,8.0
Sherman Douglas,0.509,4.8,31.6,0.4,0.6,0.068,17.7,2.7,6.0,0.455,0.457,4.1,7.3
Joe Kleine,0.519,16.4,4.3,1.2,1.3,0.124,14.2,2.1,4.2,0.491,0.498,0.5,4.7
Rickey Green,0.478,3.6,24.1,0.2,0.3,0.068,14.1,1.8,4.0,0.447,0.451,2.6,4.1
Kevin Pritchard,0.549,4.5,28.4,0.1,0.1,0.087,12.4,1.5,3.1,0.471,0.471,2.7,4.2
Tony Massenburg,0.465,10.8,0.0,0.0,0.0,0.007,6.6,0.6,1.3,0.444,0.444,0.0,1.4
Larry Robinson,0.2,18.3,22.9,-0.1,0.0,-0.434,6.0,1.0,5.0,0.2,0.2,1.0,2.0
Stojko Vranković,0.496,14.0,6.0,-0.1,0.2,0.037,5.8,0.8,1.7,0.469,0.469,0.3,1.9
Kenny Battle,0.931,10.8,0.0,0.1,0.0,0.196,5.8,0.4,0.5,0.75,0.75,0.0,1.8
Patrick Ewing,0.563,16.8,8.5,6.1,6.9,0.198,38.4,9.7,18.6,0.522,0.522,1.9,24.0
Mark Jackson,0.542,7.1,41.2,4.1,3.5,0.149,30.4,4.5,9.2,0.491,0.499,8.6,11.3
Xavier McDaniel,0.509,11.2,10.2,1.4,3.2,0.093,28.6,6.0,12.5,0.478,0.484,1.8,13.7
Gerald Wilkins,0.491,5.0,14.4,1.3,2.7,0.082,28.6,5.3,11.8,0.447,0.467,2.7,12.4
Charles Oakley,0.558,17.4,7.8,1.8,3.9,0.119,28.2,2.6,4.9,0.522,0.522,1.6,6.2
Anthony Mason,0.558,14.9,6.5,2.4,3.2,0.123,26.8,2.5,4.9,0.509,0.509,1.3,7.0
John Starks,0.55,5.2,20.3,3.4,3.1,0.146,25.8,4.9,11.0,0.449,0.501,3.4,13.9
Greg Anthony,0.443,5.2,28.6,0.2,2.0,0.07,18.4,2.0,5.3,0.37,0.379,3.8,5.5
