,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Jayson Tatum,0.607,13.0,20.9,6.2,4.3,0.185,36.9,9.8,21.1,0.466,0.543,4.6,30.1
Jaylen Brown,0.581,10.4,16.5,1.6,3.4,0.1,35.9,10.1,20.6,0.491,0.55,3.5,26.6
Marcus Smart,0.538,5.3,26.4,1.0,2.7,0.092,32.1,4.1,9.9,0.415,0.511,6.3,11.5
Al Horford,0.631,11.1,13.2,3.6,2.7,0.157,30.5,3.6,7.6,0.476,0.627,3.0,9.8
Derrick White,0.604,6.9,19.4,4.4,3.1,0.154,28.3,4.3,9.2,0.462,0.56,3.9,12.4
Malcolm Brogdon,0.615,8.8,21.5,3.6,2.2,0.161,26.0,5.3,10.9,0.484,0.574,3.7,14.9
Grant Williams,0.605,9.7,8.4,1.9,2.6,0.104,25.9,2.7,6.0,0.454,0.575,1.7,8.1
Robert Williams,0.742,19.3,8.5,2.3,1.6,0.224,23.5,3.6,4.9,0.747,0.747,1.4,8.0
Mike Muscala,0.623,11.5,5.0,0.4,0.4,0.116,16.2,2.1,4.5,0.472,0.612,0.6,5.9
Sam Hauser,0.634,8.6,7.6,1.8,1.6,0.128,16.1,2.3,5.0,0.455,0.631,0.9,6.4
Blake Griffin,0.59,14.9,14.2,1.0,0.8,0.153,13.9,1.5,3.2,0.485,0.573,1.5,4.1
Payton Pritchard,0.536,7.5,14.0,-0.1,0.7,0.045,13.4,2.1,5.1,0.412,0.527,1.3,5.6
Luke Kornet,0.697,13.4,9.1,2.1,1.2,0.198,11.7,1.6,2.5,0.665,0.674,0.8,3.8
Justin Champagnie,0.208,9.5,16.7,-0.1,0.0,-0.145,11.5,1.0,6.0,0.167,0.208,1.5,2.5
Mfiondu Kabengele,0.381,15.2,0.0,0.0,0.1,0.067,9.0,0.5,1.8,0.286,0.286,0.0,1.5
Noah Vonleh,0.502,15.3,5.1,0.0,0.3,0.06,7.4,0.5,1.0,0.458,0.479,0.3,1.1
JD Davison,0.478,7.4,22.4,0.0,0.1,0.059,5.5,0.7,1.6,0.421,0.474,0.9,1.6
Justin Jackson,0.359,8.7,10.5,-0.1,0.2,0.025,4.7,0.3,1.2,0.259,0.352,0.4,0.9
James Harden,0.607,9.8,43.3,5.8,2.6,0.188,36.8,6.4,14.5,0.441,0.536,10.7,21.0
Joel Embiid,0.655,17.3,22.9,8.4,3.9,0.259,34.6,11.0,20.1,0.548,0.573,4.2,33.1
Tyrese Maxey,0.605,5.2,16.9,3.7,1.6,0.128,33.6,7.3,15.2,0.481,0.568,3.5,20.3
Tobias Harris,0.602,10.3,11.4,3.1,2.8,0.116,32.9,5.7,11.4,0.501,0.575,2.5,14.7
Louis King,0.744,8.1,12.2,0.1,0.0,0.157,29.0,8.0,13.0,0.615,0.769,2.0,20.0
De'Anthony Melton,0.566,8.6,12.9,1.1,3.1,0.095,27.9,3.6,8.5,0.425,0.546,2.6,10.1
P.J. Tucker,0.566,9.1,3.9,0.9,1.7,0.064,25.6,1.3,3.0,0.427,0.549,0.8,3.5
Shake Milton,0.575,7.2,22.3,1.6,1.2,0.087,20.6,3.2,6.6,0.479,0.535,3.2,8.4
Mac McClung,0.563,14.4,35.3,0.1,0.0,0.14,20.5,4.5,10.0,0.45,0.55,4.5,12.5
Georges Niang,0.61,7.2,7.3,1.1,1.4,0.078,19.4,2.8,6.4,0.442,0.596,1.0,8.2
Jalen McDaniels,0.58,10.7,6.5,0.4,0.5,0.109,17.5,2.5,5.1,0.488,0.537,0.8,6.7
Danuel House Jr.,0.6,6.9,7.5,0.6,0.7,0.075,14.4,1.7,3.5,0.472,0.566,0.8,4.8
Matisse Thybulle,0.536,6.3,5.1,0.3,0.9,0.102,12.1,1.0,2.4,0.431,0.522,0.5,2.7
Montrezl Harrell,0.631,13.8,7.4,1.3,0.8,0.153,11.9,2.2,3.7,0.598,0.598,0.6,5.6
Paul Reed,0.62,20.5,5.3,1.2,1.6,0.18,10.9,1.8,3.0,0.593,0.596,0.4,4.2
Dewayne Dedmon,0.579,19.4,19.6,0.0,0.1,0.113,9.5,1.6,2.8,0.591,0.614,1.3,3.5
Furkan Korkmaz,0.552,7.0,8.8,-0.2,0.3,0.019,9.5,1.3,3.0,0.432,0.514,0.6,3.8
Jaden Springer,0.545,9.3,13.8,0.1,0.2,0.145,5.6,1.1,2.2,0.486,0.514,0.5,2.6
Saben Lee,0.75,0.0,36.9,0.0,0.0,-0.096,5.0,1.5,2.0,0.75,0.75,1.0,3.0
Julian Champagnie,0.0,0.0,0.0,0.0,0.0,-0.214,3.5,0.0,1.0,0.0,0.0,0.0,0.0
Michael Foster Jr.,,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.0,,,0.0,0.0
