,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Tom Boerwinkle,0.457,15.4,27.5,0.0,0.5,0.146,22.0,1.1,3.0,0.375,0.375,5.0,3.8
Dennis Awtrey,0.51,13.1,17.0,1.3,3.6,0.145,20.9,1.8,3.8,0.48,0.48,2.8,4.7
Gar Heard,0.452,14.6,5.8,-0.5,2.9,0.075,19.7,4.4,10.4,0.425,0.425,0.7,10.3
Jim King,0.483,4.8,14.1,0.4,1.0,0.091,12.1,1.8,4.0,0.441,0.441,1.2,4.2
Kenny McIntosh,0.576,13.6,4.8,0.1,0.1,0.225,11.0,2.7,4.3,0.615,0.615,0.3,5.3
Howard Porter,0.474,14.5,6.2,0.2,0.8,0.112,9.5,2.3,5.0,0.452,0.452,0.4,5.1
Rowland Garrett,0.475,14.5,6.0,0.1,0.4,0.115,6.0,1.5,3.4,0.441,0.441,0.2,3.6
Frank Russell,0.436,6.5,17.4,-0.1,0.2,0.03,5.7,1.3,3.3,0.377,0.377,0.7,3.2
Dave Bing,0.514,4.3,26.3,6.0,2.7,0.123,41.0,8.4,18.8,0.448,0.448,7.8,22.4
Bob Lanier,0.527,18.6,12.3,6.9,3.6,0.161,38.9,10.0,20.4,0.49,0.49,3.2,23.8
Curtis Rowe,0.545,12.3,7.7,5.7,2.5,0.132,37.1,6.8,13.0,0.519,0.519,2.1,16.1
Stu Lantz,0.47,5.2,10.6,0.4,1.0,0.041,31.4,3.6,8.9,0.407,0.407,2.7,9.6
Don Adams,0.454,11.3,7.9,-0.2,1.5,0.034,25.7,3.7,9.1,0.402,0.402,1.6,9.3
Fred Foster,0.411,6.1,8.5,-1.8,0.9,-0.031,23.2,3.9,10.0,0.388,0.388,1.5,8.7
John Mengelt,0.546,5.4,12.4,3.2,0.9,0.136,21.4,4.4,8.7,0.504,0.504,1.9,10.5
Chris Ford,0.501,8.4,15.9,1.3,1.3,0.079,20.8,2.8,5.9,0.479,0.479,2.6,6.4
Willie Norwood,0.541,12.3,6.0,2.7,1.0,0.141,16.2,3.2,6.4,0.494,0.494,0.7,8.3
Jim Davis,0.544,16.5,9.6,1.5,0.8,0.142,10.6,1.8,3.5,0.51,0.51,0.8,4.6
Justus Thigpen,0.404,4.4,11.6,-0.2,0.1,-0.061,5.5,1.3,3.2,0.404,0.404,0.4,2.6
Bob Nash,0.271,9.8,11.4,-0.8,0.1,-0.199,4.7,0.4,2.0,0.222,0.222,0.4,1.2
Erwin Mueller,0.337,8.5,10.7,-0.2,0.1,-0.103,3.8,0.4,1.5,0.29,0.29,0.3,1.1
Harvey Marlatt,0.5,1.9,18.1,0.0,0.0,0.054,3.7,0.3,0.6,0.5,0.5,0.6,0.6
Tiny Archibald,0.555,3.2,38.9,13.9,0.3,0.186,46.0,12.9,26.3,0.488,0.488,11.4,34.0
Sam Lacey,0.498,16.6,8.5,2.3,0.3,0.044,37.1,6.0,12.6,0.474,0.474,2.4,13.5
Matt Guokas,0.594,4.5,17.7,5.0,0.2,0.087,36.0,4.1,7.2,0.57,0.57,5.1,9.1
Tom Van Arsdale,0.501,7.0,9.7,1.4,0.1,0.057,26.2,5.1,11.2,0.457,0.457,1.8,12.4
Nate Williams,0.504,8.9,9.2,2.3,0.1,0.06,24.7,5.2,10.9,0.477,0.477,1.6,11.8
Ron Riley,0.456,16.2,6.2,-0.2,0.2,0.0,22.1,3.7,8.6,0.431,0.431,1.0,8.4
John Block,0.525,13.0,5.2,0.8,0.0,0.082,19.3,3.2,7.2,0.444,0.444,0.8,9.0
Johnny Green,0.626,15.1,6.2,3.5,0.1,0.141,18.9,2.9,4.8,0.599,0.599,0.9,7.1
John Mengelt,0.413,5.4,14.9,-0.2,0.0,-0.039,17.7,2.2,5.7,0.382,0.382,2.1,5.3
Don Kojis,0.518,8.3,9.3,2.1,0.1,0.084,16.1,3.6,7.5,0.48,0.48,1.0,8.5
Mike Ratliff,0.443,14.8,7.2,-0.3,0.1,-0.014,11.7,1.7,4.1,0.417,0.417,0.7,4.2
Dick Gibbs,0.416,6.7,10.3,-0.6,0.0,-0.035,11.1,1.2,3.3,0.362,0.362,0.9,3.1
Toby Kimball,0.473,15.5,5.5,0.2,0.1,0.018,9.6,1.4,3.3,0.436,0.436,0.4,3.5
Frank Schade,0.519,4.1,14.8,0.0,0.0,0.031,8.4,0.2,0.8,0.286,0.286,1.1,1.1
Ken Durrett,0.449,11.2,5.8,0.0,0.0,-0.008,8.1,1.0,2.6,0.381,0.381,0.4,2.8
Pete Cross,0.0,8.7,0.0,-0.1,0.0,-0.207,8.0,0.0,1.3,0.0,0.0,0.0,0.0
Sam Sibert,0.395,8.0,0.0,-0.1,0.0,-0.105,5.2,0.8,2.6,0.308,0.308,0.0,2.4
Wilt Chamberlain,0.689,19.6,12.5,10.7,7.5,0.247,43.2,5.2,7.1,0.727,0.727,4.5,13.2
Jim McMillian,0.495,6.9,10.3,3.1,3.3,0.104,36.5,8.1,17.7,0.458,0.458,2.7,18.9
Jerry West,0.533,5.4,35.5,6.7,3.8,0.206,35.7,9.0,18.7,0.479,0.479,8.8,22.8
