,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Paul Pierce,0.583,10.6,20.3,7.7,3.6,0.182,36.1,6.8,14.9,0.455,0.499,4.2,21.6
Antoine Walker,0.49,14.0,15.0,-0.3,1.0,0.041,34.5,6.7,15.2,0.442,0.477,3.0,16.3
Gary Payton,0.537,5.4,29.2,3.8,1.6,0.102,33.0,4.4,9.4,0.468,0.497,6.1,11.3
Ricky Davis,0.547,5.4,15.5,2.5,1.7,0.074,32.9,5.9,12.7,0.462,0.491,3.0,16.0
Raef LaFrentz,0.587,14.7,7.3,4.9,2.6,0.165,27.5,4.3,8.6,0.496,0.555,1.2,11.1
Mark Blount,0.559,10.9,9.9,1.2,1.6,0.063,26.0,4.0,7.5,0.529,0.529,1.6,9.4
Jiří Welsch,0.543,7.2,11.6,1.0,0.9,0.083,20.5,2.5,5.8,0.428,0.478,1.5,7.5
Tony Allen,0.542,10.2,8.2,1.2,1.6,0.103,16.4,2.4,5.0,0.475,0.491,0.8,6.4
Al Jefferson,0.554,17.3,3.9,1.3,1.4,0.123,14.8,2.7,5.2,0.528,0.528,0.3,6.7
Marcus Banks,0.52,6.4,20.3,0.8,1.2,0.081,14.1,1.4,3.5,0.402,0.439,1.9,4.6
Delonte West,0.524,7.5,16.4,0.5,0.5,0.09,13.0,1.7,4.0,0.426,0.503,1.4,4.5
Walter McCarty,0.517,8.1,7.2,0.4,0.4,0.068,12.6,1.4,3.4,0.413,0.513,0.6,3.7
Tom Gugliotta,0.328,11.5,7.7,-0.2,0.2,0.002,10.9,0.6,1.9,0.297,0.297,0.6,1.3
Kendrick Perkins,0.515,18.7,5.8,-0.1,0.8,0.065,9.1,0.9,2.0,0.471,0.471,0.4,2.5
Justin Reed,0.576,7.7,12.9,0.2,0.1,0.121,5.3,0.7,1.3,0.517,0.517,0.4,1.8
Allen Iverson,0.532,5.3,37.6,5.3,3.7,0.136,42.3,10.3,24.2,0.424,0.453,7.9,30.7
Chris Webber,0.423,13.2,17.5,-1.1,1.1,-0.002,33.4,6.8,17.4,0.391,0.396,3.1,15.6
Andre Iguodala,0.58,9.7,14.3,2.7,4.0,0.118,32.8,3.3,6.7,0.493,0.536,3.0,9.0
Kyle Korver,0.588,8.0,11.0,3.3,3.3,0.119,32.5,3.9,9.3,0.418,0.567,2.2,11.5
Kenny Thomas,0.502,12.9,9.9,0.4,1.6,0.071,28.6,4.6,10.1,0.456,0.457,1.6,11.3
Samuel Dalembert,0.543,17.1,3.3,0.8,3.1,0.104,24.8,3.5,6.6,0.524,0.524,0.5,8.2
Marc Jackson,0.548,11.6,7.2,2.9,1.7,0.111,24.4,4.2,9.0,0.465,0.465,1.0,12.0
Corliss Williamson,0.529,9.5,7.3,1.1,1.0,0.094,22.0,4.0,8.7,0.465,0.465,0.9,10.8
Willie Green,0.457,7.0,15.7,-0.9,1.1,0.007,18.7,2.7,7.4,0.366,0.402,1.8,7.7
Rodney Rogers,0.488,12.1,8.8,0.2,0.7,0.09,17.3,2.3,5.8,0.391,0.463,0.9,6.0
John Salmons,0.511,6.9,17.5,0.2,1.2,0.066,17.1,1.5,3.6,0.405,0.479,2.0,4.1
Aaron McKie,0.51,8.7,13.4,0.5,1.5,0.085,16.4,0.9,2.1,0.43,0.5,1.5,2.2
Brian Skinner,0.38,14.2,3.1,-0.4,0.3,-0.013,10.3,0.9,2.4,0.386,0.386,0.2,2.0
Michael Bradley,0.765,10.5,12.7,0.0,0.0,0.174,8.0,2.0,2.5,0.8,0.8,0.5,4.5
Josh Davis,0.494,13.5,6.0,0.2,0.4,0.079,7.8,1.0,2.6,0.378,0.464,0.3,2.8
Kedrick Brown,0.577,11.2,10.3,0.0,0.1,0.06,6.9,0.3,0.8,0.333,0.333,0.5,1.5
Kevin Ollie,0.4,6.8,17.9,-0.1,0.1,0.025,6.1,0.4,1.2,0.355,0.355,0.7,1.1
Richard Jefferson,0.537,10.7,19.0,0.6,1.8,0.086,41.1,7.2,17.1,0.422,0.449,4.0,22.2
Vince Carter,0.556,9.1,27.6,5.4,3.1,0.184,38.9,10.0,21.7,0.462,0.505,4.7,27.5
Jason Kidd,0.506,12.1,40.6,3.1,4.2,0.143,36.9,5.2,13.0,0.398,0.473,8.3,14.4
Eric Williams,0.57,7.7,9.9,0.9,0.7,0.107,35.2,4.1,8.8,0.47,0.516,2.0,12.6
Jason Collins,0.471,11.5,6.7,0.2,3.7,0.073,31.8,2.3,5.6,0.412,0.415,1.3,6.4
Nenad Krstić,0.547,12.3,7.1,1.9,2.5,0.108,26.2,3.7,7.6,0.493,0.493,1.0,10.0
Alonzo Mourning,0.498,16.7,5.6,-0.6,0.9,0.03,25.4,3.8,8.3,0.453,0.453,0.8,10.4
Ron Mercer,0.422,6.2,9.8,-0.5,0.5,-0.007,21.7,3.6,8.8,0.411,0.411,1.1,7.6
Brian Scalabrine,0.468,12.6,13.0,-0.2,1.6,0.058,21.6,2.4,6.1,0.398,0.431,1.6,6.3
Clifford Robinson,0.467,9.5,8.5,-0.2,0.8,0.052,20.7,2.1,5.8,0.361,0.435,1.0,6.0
Rodney Buford,0.437,8.7,8.7,-0.8,1.6,0.03,20.5,2.9,7.6,0.382,0.417,1.0,7.0
Jacque Vaughn,0.511,4.6,16.3,0.4,1.4,0.062,19.9,2.1,4.6,0.449,0.457,1.9,5.3
Travis Best,0.508,4.4,17.4,0.8,1.8,0.084,19.2,2.5,5.9,0.42,0.449,1.9,6.8
Jabari Smith,0.482,10.3,9.8,-0.3,1.0,0.05,14.4,1.4,3.3,0.419,0.422,0.8,3.7
Billy Thomas,0.47,6.1,8.0,0.0,0.4,0.055,14.2,1.4,3.8,0.362,0.452,0.7,3.7
Zoran Planinić,0.534,8.1,15.8,0.1,0.7,0.073,12.0,1.8,4.0,0.448,0.491,1.0,5.0
Aaron Williams,0.589,12.4,6.7,0.0,0.2,0.073,7.9,0.7,1.4,0.519,0.519,0.3,1.9
Kaniel Dickens,0.437,8.9,2.6,0.0,0.1,0.036,5.5,0.4,1.3,0.286,0.393,0.1,1.2
Donnell Harvey,1.064,26.3,11.0,0.1,0.0,0.484,5.3,0.7,0.7,1.0,1.0,0.3,2.7
Elden Campbell,0.114,13.2,8.7,-0.1,0.1,-0.064,5.0,0.0,0.7,0.0,0.0,0.3,0.2
Awvee Storey,0.368,9.4,5.2,0.0,0.0,0.026,3.6,0.3,1.1,0.3,0.35,0.1,0.9
Jérôme Moïso,0.694,17.5,0.0,0.1,0.0,0.174,3.0,0.4,0.5,0.75,0.75,0.0,1.0
Chris Bosh,0.547,13.5,8.6,3.9,2.9,0.108,37.2,5.8,12.4,0.471,0.472,1.9,16.8
Rafer Alston,0.522,5.8,31.7,3.8,1.7,0.098,34.0,5.0,12.2,0.414,0.485,6.4,14.2
Jalen Rose,0.562,5.8,14.0,3.8,1.0,0.085,33.5,6.5,14.3,0.455,0.501,2.6,18.5
Morris Peterson,0.543,7.7,11.2,3.5,1.6,0.098,30.6,4.3,10.3,0.42,0.496,2.1,12.5
Vince Carter,0.475,6.1,18.5,0.5,0.4,0.068,30.4,6.2,15.1,0.411,0.442,3.1,15.9
Donyell Marshall,0.591,14.7,8.4,4.1,1.9,0.176,25.3,4.0,9.1,0.443,0.57,1.2,11.5
Milt Palacio,0.507,4.9,28.8,1.0,0.7,0.054,19.2,2.2,4.9,0.446,0.449,3.5,5.8
Matt Bonner,0.596,10.4,5.3,3.3,0.9,0.13,18.9,3.0,5.6,0.533,0.576,0.6,7.2
Eric Williams,0.472,7.5,13.2,0.0,0.4,0.034,17.1,1.6,4.3,0.379,0.417,1.5,4.7
Loren Woods,0.463,17.5,3.7,0.0,0.7,0.048,15.8,1.6,3.6,0.433,0.433,0.4,3.9
Omar Cook,0.432,5.4,48.7,0.0,0.1,0.067,14.8,2.0,4.8,0.417,0.417,4.4,4.6
Lamond Murray,0.537,10.1,8.5,0.5,0.7,0.067,14.8,2.1,5.0,0.426,0.5,0.8,6.0
Rafael Araújo,0.492,14.2,3.4,-0.4,0.7,0.016,12.5,1.3,3.0,0.434,0.437,0.3,3.3
Pape Sow,0.444,12.7,1.2,-0.1,0.3,0.029,9.4,0.9,2.1,0.397,0.397,0.1,2.3
Jérôme Moïso,0.54,18.9,0.0,0.0,0.1,0.039,8.6,0.4,1.1,0.333,0.333,0.0,1.8
Aaron Williams,0.461,9.9,1.9,0.0,0.1,0.008,7.2,0.7,1.6,0.417,0.417,0.1,1.6
Stephon Marbury,0.575,4.4,36.0,10.4,1.3,0.171,40.0,7.4,16.0,0.462,0.506,8.1,21.7
Jamal Crawford,0.521,4.4,19.2,3.1,1.1,0.075,38.4,6.2,15.7,0.398,0.483,4.3,17.7
Kurt Thomas,0.488,17.1,9.3,1.8,3.3,0.087,35.7,5.3,11.3,0.471,0.472,2.0,11.5
Nazr Mohammed,0.55,17.0,2.9,2.1,1.7,0.12,28.1,4.3,8.5,0.509,0.509,0.5,10.9
Tim Thomas,0.536,7.2,9.7,1.4,0.8,0.054,27.3,4.4,10.1,0.439,0.498,1.5,12.0
Allan Houston,0.529,2.5,13.4,0.7,0.0,0.064,26.6,4.3,10.3,0.415,0.49,2.1,11.9
Anfernee Hardaway,0.48,5.8,13.2,-0.2,0.4,0.009,24.2,3.0,7.0,0.423,0.452,2.0,7.3
Malik Rose,0.511,10.9,4.7,-0.1,0.4,0.021,23.6,2.8,6.7,0.425,0.428,0.7,8.3
Shandon Anderson,0.0,2.9,0.0,-0.1,0.0,-0.172,20.0,0.0,2.0,0.0,0.0,0.0,0.0
Mike Sweetney,0.592,16.3,4.9,2.7,1.1,0.122,19.6,3.1,5.8,0.531,0.531,0.6,8.4
Trevor Ariza,0.503,10.3,9.8,0.8,1.3,0.073,17.3,2.2,4.9,0.442,0.446,1.1,5.9
Maurice Taylor,0.509,12.7,5.7,-0.1,0.3,0.022,16.0,2.8,5.7,0.494,0.494,0.5,6.5
