,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
DeMar DeRozan,0.532,6.6,18.9,5.8,3.0,0.141,38.2,7.6,17.8,0.429,0.452,4.0,22.7
Kyle Lowry,0.567,7.5,34.7,8.4,3.3,0.197,36.2,5.8,13.7,0.423,0.511,7.4,17.9
Rudy Gay,0.468,12.1,11.5,-0.8,1.1,0.021,35.5,7.2,18.6,0.388,0.421,2.2,19.4
Amir Johnson,0.592,13.3,8.7,3.2,3.1,0.136,28.8,4.5,7.9,0.562,0.578,1.5,10.4
Jonas Valančiūnas,0.579,18.2,4.2,3.5,3.2,0.141,28.2,4.4,8.3,0.531,0.531,0.7,11.3
Terrence Ross,0.553,6.8,6.1,2.0,2.2,0.094,26.7,3.9,9.3,0.423,0.531,1.0,10.9
Patrick Patterson,0.559,12.7,9.5,1.8,1.6,0.147,23.3,3.6,7.6,0.477,0.54,1.3,9.1
Greivis Vásquez,0.537,6.2,29.5,1.6,1.1,0.096,21.5,3.5,8.3,0.417,0.509,3.7,9.5
John Salmons,0.472,5.3,12.1,0.2,1.2,0.052,21.4,1.8,4.9,0.368,0.448,1.7,5.0
Tyler Hansbrough,0.562,17.1,2.7,1.7,1.4,0.149,15.3,1.5,3.1,0.474,0.474,0.3,4.9
Chuck Hayes,0.467,16.5,7.5,0.1,0.9,0.088,12.8,0.9,2.2,0.429,0.429,0.6,2.2
Landry Fields,0.443,10.7,9.3,0.0,0.4,0.057,10.7,0.9,2.2,0.403,0.403,0.7,2.3
Dwight Buycks,0.414,9.2,10.6,-0.2,0.2,-0.009,10.4,1.1,3.4,0.313,0.365,0.7,3.1
Steve Novak,0.599,6.3,3.8,1.0,0.5,0.127,10.0,1.1,2.7,0.411,0.589,0.2,3.3
Nando De Colo,0.495,8.5,26.9,0.2,0.2,0.098,9.2,1.0,2.9,0.367,0.433,1.6,3.1
Quincy Acy,0.542,14.3,10.1,0.1,0.1,0.188,8.7,0.9,2.0,0.429,0.5,0.6,2.7
D.J. Augustin,0.394,2.8,18.4,-0.2,0.0,-0.112,8.2,0.7,2.4,0.292,0.313,1.0,2.1
Julyan Stone,0.491,9.7,14.5,0.0,0.1,0.061,5.7,0.3,0.8,0.412,0.471,0.6,0.9
Aaron Gray,0.644,23.3,23.1,0.0,0.0,-0.007,5.0,0.5,0.8,0.667,0.667,0.8,1.3
Austin Daye,0.279,12.4,9.2,-0.1,0.0,-0.067,4.1,0.4,1.6,0.231,0.231,0.3,1.0
Joe Johnson,0.564,6.3,15.0,3.9,1.0,0.091,32.6,5.8,12.9,0.454,0.533,2.7,15.8
Deron Williams,0.564,4.9,32.8,3.8,1.5,0.125,32.2,5.0,11.2,0.45,0.518,6.1,14.3
Brook Lopez,0.629,11.5,6.1,1.9,0.5,0.211,31.4,7.6,13.5,0.563,0.563,0.9,20.7
Paul Pierce,0.595,9.9,14.5,2.9,2.3,0.119,28.0,4.3,9.5,0.451,0.529,2.4,13.5
Shaun Livingston,0.551,7.5,20.1,2.6,1.8,0.108,26.0,3.1,6.4,0.483,0.484,3.2,8.3
Marcus Thornton,0.547,7.1,8.6,0.6,0.5,0.087,23.8,4.2,10.2,0.414,0.511,1.2,12.3
Alan Anderson,0.525,5.9,7.3,0.8,0.9,0.047,22.7,2.5,6.2,0.4,0.487,1.0,7.2
Andray Blatche,0.532,14.4,12.8,1.6,2.1,0.109,22.2,4.4,9.2,0.476,0.487,1.5,11.2
Kevin Garnett,0.467,19.3,12.4,-0.7,1.9,0.054,20.5,2.9,6.6,0.441,0.441,1.5,6.5
Mirza Teletović,0.559,11.4,7.1,1.6,1.1,0.094,19.4,3.1,7.3,0.418,0.546,0.8,8.6
Andrei Kirilenko,0.532,10.2,13.1,0.4,0.9,0.07,19.0,1.8,3.6,0.513,0.516,1.6,5.0
Mason Plumlee,0.67,14.5,8.1,3.0,1.7,0.176,18.2,2.8,4.3,0.659,0.659,0.9,7.4
Jorge Gutiérrez,0.523,5.4,19.4,0.1,0.2,0.048,16.3,1.7,3.6,0.463,0.491,2.0,4.1
Jason Terry,0.501,3.9,15.3,0.0,0.2,0.016,16.3,1.6,4.3,0.362,0.49,1.6,4.5
Reggie Evans,0.462,22.4,1.8,-0.1,0.5,0.046,13.3,0.8,2.0,0.39,0.39,0.2,2.7
Tyshawn Taylor,0.427,3.3,21.4,-0.7,0.2,-0.098,11.7,1.3,4.0,0.341,0.357,1.6,3.9
Marquis Teague,0.505,6.3,23.8,-0.2,0.2,-0.017,9.6,1.0,2.5,0.415,0.443,1.4,3.0
Tornike Shengelia,0.454,6.1,13.3,-0.2,0.0,-0.054,8.1,0.6,1.4,0.458,0.458,0.7,1.5
Jason Collins,0.485,6.6,3.5,-0.1,0.1,0.017,7.8,0.5,1.1,0.458,0.458,0.2,1.1
Carmelo Anthony,0.561,12.3,15.8,8.1,2.5,0.172,38.7,9.6,21.3,0.452,0.503,3.1,27.4
J.R. Smith,0.527,7.2,15.1,2.5,1.2,0.073,32.7,5.4,12.9,0.415,0.514,3.0,14.5
Raymond Felton,0.476,5.7,28.1,1.1,1.1,0.053,31.0,3.7,9.4,0.395,0.446,5.6,9.7
Tyson Chandler,0.615,18.7,5.5,3.1,1.9,0.143,30.2,3.5,5.9,0.593,0.593,1.1,8.7
Andrea Bargnani,0.51,10.4,6.1,0.8,0.7,0.058,29.9,5.3,12.0,0.442,0.472,1.1,13.3
Iman Shumpert,0.48,9.2,9.8,0.4,1.6,0.048,26.5,2.5,6.5,0.378,0.457,1.7,6.7
Tim Hardaway Jr.,0.554,3.8,5.8,2.7,0.4,0.08,23.1,3.6,8.5,0.428,0.523,0.8,10.2
Amar'e Stoudemire,0.596,12.8,4.2,2.9,0.9,0.124,22.6,4.8,8.6,0.557,0.557,0.5,11.9
Kenyon Martin,0.521,12.5,11.9,0.5,0.7,0.09,19.8,2.0,3.8,0.512,0.512,1.6,4.3
Pablo Prigioni,0.642,5.9,25.6,2.5,0.9,0.127,19.4,1.3,2.9,0.461,0.631,3.5,3.8
Beno Udrih,0.507,5.7,28.9,0.4,0.3,0.056,19.0,2.2,5.2,0.425,0.478,3.5,5.6
Metta World Peace,0.469,8.9,7.1,-0.2,0.4,0.032,13.4,1.9,4.9,0.397,0.457,0.6,4.8
Jeremy Tyler,0.532,16.1,3.3,0.1,0.4,0.064,9.7,1.5,2.8,0.517,0.517,0.2,3.6
Earl Clark,0.453,13.4,4.3,0.0,0.1,0.08,7.8,0.8,2.3,0.333,0.357,0.2,2.6
Shannon Brown,0.462,6.0,4.1,-0.2,0.2,-0.013,7.8,0.8,2.0,0.421,0.421,0.2,2.1
Toure' Murry,0.479,6.9,21.5,-0.3,0.3,0.002,7.3,1.1,2.5,0.434,0.453,1.0,2.7
Cole Aldrich,0.62,23.0,6.4,0.6,0.6,0.178,7.2,0.7,1.3,0.541,0.541,0.3,2.0
Chris Smith,,0.0,0.0,0.0,0.0,-0.02,1.0,0.0,0.0,,,0.0,0.0
Jeff Green,0.52,7.7,8.4,1.3,2.0,0.057,34.2,5.9,14.3,0.412,0.469,1.7,16.9
Rajon Rondo,0.461,9.3,47.7,0.2,1.0,0.054,33.3,4.7,11.7,0.403,0.44,9.8,11.7
Avery Bradley,0.51,6.9,8.1,0.4,1.4,0.046,30.9,6.0,13.8,0.438,0.485,1.4,14.9
Jordan Crawford,0.525,5.7,31.0,1.7,0.7,0.096,30.7,4.8,11.7,0.413,0.468,5.7,13.7
Brandon Bass,0.549,11.8,6.4,3.2,1.9,0.107,27.6,4.3,8.8,0.486,0.487,1.1,11.1
Jared Sullinger,0.497,16.7,10.1,1.9,2.0,0.091,27.6,5.2,12.1,0.427,0.458,1.6,13.3
Jerryd Bayless,0.514,4.7,20.4,0.7,0.7,0.064,25.3,3.9,9.2,0.418,0.485,3.1,10.1
Gerald Wallace,0.543,8.5,14.9,-0.3,1.6,0.043,24.4,2.0,4.0,0.504,0.546,2.5,5.1
Kelly Olynyk,0.546,14.8,13.1,1.5,1.4,0.101,20.0,3.3,7.2,0.466,0.506,1.6,8.7
Kris Humphries,0.552,16.9,8.2,2.3,1.8,0.143,19.9,3.3,6.7,0.501,0.501,1.0,8.4
Chris Johnson,0.537,7.0,6.0,0.9,0.5,0.085,19.7,2.1,5.4,0.397,0.498,0.8,6.3
Courtney Lee,0.573,5.5,10.9,0.6,0.4,0.094,16.8,3.0,6.1,0.492,0.555,1.1,7.4
Phil Pressey,0.39,5.3,30.8,-1.0,1.1,0.005,15.1,1.0,3.4,0.308,0.364,3.2,2.8
Vítor Luiz Faverani,0.502,14.9,5.2,-0.3,0.7,0.031,13.2,1.7,4.0,0.435,0.476,0.4,4.4
Chris Babb,0.367,7.3,3.3,-0.1,0.1,-0.008,9.4,0.6,2.1,0.267,0.367,0.2,1.6
Keith Bogans,0.82,3.1,7.7,0.1,0.0,0.121,9.2,0.5,1.0,0.5,0.75,0.5,2.0
MarShon Brooks,0.514,14.8,8.6,-0.1,0.1,0.017,7.3,0.9,2.4,0.375,0.417,0.4,3.1
Joel Anthony,0.384,11.8,1.9,0.0,0.1,0.043,7.1,0.5,1.2,0.385,0.385,0.1,1.0
Vander Blue,0.403,11.4,10.7,-0.1,0.0,-0.214,5.0,0.7,1.3,0.5,0.5,0.3,1.7
Evan Turner,0.504,9.2,17.7,-0.2,0.9,0.017,34.9,6.6,15.4,0.428,0.451,3.7,17.4
Michael Carter-Williams,0.48,9.8,30.2,-0.8,2.1,0.026,34.5,6.1,15.1,0.405,0.431,6.3,16.7
Thaddeus Young,0.512,9.5,11.8,1.2,2.3,0.062,34.4,7.4,16.2,0.454,0.489,2.3,17.9
Spencer Hawes,0.546,14.7,16.9,1.2,1.4,0.075,31.4,5.0,11.1,0.451,0.52,3.3,13.0
James Anderson,0.53,7.0,9.9,0.9,0.9,0.039,28.9,3.9,9.0,0.431,0.511,1.9,10.1
Henry Sims,0.554,13.8,10.6,1.5,0.4,0.128,27.2,4.3,8.8,0.489,0.489,1.8,11.8
Tony Wroten,0.493,7.0,20.9,-1.8,0.9,-0.025,24.5,4.8,11.2,0.427,0.452,3.0,13.0
Hollis Thompson,0.57,7.7,6.1,1.4,0.6,0.055,22.6,2.2,4.8,0.46,0.55,0.9,6.0
Lavoy Allen,0.464,15.6,10.2,0.4,0.7,0.053,18.8,2.3,5.2,0.44,0.444,1.3,5.2
Elliot Williams,0.519,6.1,9.4,0.0,0.3,0.014,17.3,2.1,5.0,0.415,0.47,1.1,6.0
Darius Morris,0.544,3.6,25.4,0.1,0.1,0.027,16.1,2.4,5.6,0.433,0.507,2.6,6.9
Arnett Moultrie,0.448,10.1,1.5,-0.1,0.1,0.007,15.6,1.3,3.2,0.421,0.421,0.2,3.0
Jarvis Varnado,0.597,10.1,5.7,0.5,0.3,0.115,14.7,1.6,2.6,0.6,0.6,0.6,4.3
Eric Maynor,0.461,7.2,15.7,-0.2,0.1,-0.07,14.0,1.4,3.6,0.379,0.448,1.5,3.8
Byron Mullens,0.569,13.1,5.5,0.2,0.2,0.087,13.7,2.6,5.6,0.465,0.564,0.4,6.8
Dewayne Dedmon,0.533,17.6,2.9,0.0,0.1,0.035,13.6,1.4,2.6,0.517,0.517,0.3,3.4
Casper Ware,0.538,4.2,13.7,0.1,0.1,0.071,12.9,2.0,4.7,0.429,0.512,1.1,5.3
James Nunnally,0.43,5.4,7.7,-0.1,0.1,-0.005,12.3,1.0,3.1,0.321,0.411,0.7,2.9
Daniel Orton,0.54,13.1,8.5,0.0,0.2,0.049,11.4,1.0,2.1,0.447,0.447,0.7,3.0
