,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Rajon Rondo,0.495,7.2,47.1,1.8,4.8,0.126,37.2,4.7,9.9,0.475,0.482,11.2,10.6
Ray Allen,0.615,5.8,12.7,5.8,4.2,0.166,36.1,6.0,12.2,0.491,0.577,2.7,16.5
Paul Pierce,0.62,9.5,16.1,6.5,5.1,0.201,34.7,6.3,12.8,0.497,0.551,3.3,18.9
Kevin Garnett,0.575,17.5,13.5,3.4,5.6,0.194,31.3,6.1,11.6,0.528,0.529,2.4,14.9
Glen Davis,0.499,11.4,6.6,0.6,4.3,0.102,29.5,4.6,10.3,0.448,0.449,1.2,11.7
Kendrick Perkins,0.568,19.1,4.8,-0.1,0.6,0.088,26.1,2.7,4.9,0.542,0.542,0.8,7.3
Jeff Green,0.553,8.6,5.1,0.5,1.0,0.118,23.5,3.8,7.8,0.485,0.505,0.7,9.8
Nenad Krstić,0.598,14.2,2.3,1.0,0.9,0.17,23.0,3.3,6.1,0.537,0.537,0.3,9.1
Shaquille O'Neal,0.659,14.6,5.9,1.1,1.6,0.174,20.3,3.6,5.4,0.667,0.667,0.7,9.2
Marquis Daniels,0.527,7.4,10.6,0.3,1.7,0.103,19.1,2.3,4.7,0.491,0.5,1.3,5.5
Delonte West,0.533,5.0,22.0,0.1,0.8,0.093,18.9,2.3,5.0,0.458,0.508,2.7,5.6
Jermaine O'Neal,0.504,12.6,4.3,-0.2,0.8,0.065,18.0,2.1,4.5,0.459,0.459,0.5,5.4
Nate Robinson,0.512,5.6,17.4,-0.3,1.5,0.054,17.9,2.7,6.6,0.404,0.492,1.9,7.1
Semih Erden,0.621,12.4,5.5,0.4,1.0,0.128,14.4,1.6,2.6,0.598,0.598,0.5,4.1
Carlos Arroyo,0.447,7.4,18.6,-0.2,0.3,0.016,12.7,0.7,2.3,0.314,0.357,1.7,2.4
Troy Murphy,0.503,13.1,5.0,0.1,0.4,0.111,10.5,0.9,2.2,0.421,0.434,0.4,2.6
Von Wafer,0.524,5.5,9.8,0.2,0.9,0.092,9.5,1.2,2.7,0.421,0.478,0.6,3.2
Sasha Pavlović,0.55,5.8,2.9,-0.1,0.2,0.051,8.8,0.7,1.5,0.462,0.558,0.2,1.8
Luke Harangody,0.423,14.0,6.4,-0.1,0.4,0.075,8.6,1.0,2.5,0.394,0.408,0.4,2.3
Chris Johnson,0.773,9.6,4.5,0.0,0.1,0.118,8.0,0.5,0.8,0.667,0.667,0.3,1.5
Avery Bradley,0.36,6.5,11.9,-0.8,0.3,-0.139,5.2,0.7,2.2,0.343,0.343,0.4,1.7
Raymond Felton,0.524,5.3,37.3,2.9,1.2,0.093,38.4,6.3,14.8,0.423,0.478,9.0,17.1
Amar'e Stoudemire,0.565,12.7,13.2,5.4,2.6,0.134,36.8,9.5,19.0,0.502,0.505,2.6,25.3
Carmelo Anthony,0.575,10.6,15.3,2.6,0.6,0.157,36.2,9.1,19.9,0.461,0.51,3.0,26.3
Danilo Gallinari,0.6,7.8,7.4,4.2,0.7,0.14,34.8,4.4,10.6,0.415,0.496,1.7,15.9
Wilson Chandler,0.548,9.8,8.1,2.3,1.2,0.094,34.5,6.4,14.0,0.461,0.521,1.7,16.4
Chauncey Billups,0.582,5.6,27.4,1.9,0.2,0.155,31.6,5.0,12.3,0.403,0.483,5.5,17.5
Landry Fields,0.598,11.7,9.0,3.4,1.8,0.1,31.0,3.6,7.3,0.497,0.568,1.9,9.7
Toney Douglas,0.534,7.1,19.5,3.0,1.2,0.101,24.3,3.9,9.3,0.416,0.511,3.0,10.6
Shawne Williams,0.558,10.3,5.3,1.4,1.1,0.089,20.7,2.6,6.0,0.426,0.536,0.7,7.1
Jared Jeffries,0.403,10.0,7.2,0.1,0.4,0.046,19.3,0.8,2.1,0.38,0.39,1.0,2.0
Ronny Turiaf,0.648,10.4,11.5,2.1,1.1,0.134,17.8,1.6,2.5,0.632,0.632,1.4,4.2
Anthony Carter,0.534,7.2,20.4,0.0,0.3,0.044,16.3,1.8,4.0,0.461,0.513,2.3,4.4
Timofey Mozgov,0.514,13.0,4.8,0.0,0.4,0.044,13.5,1.5,3.3,0.464,0.464,0.4,4.0
Henry Walker,0.583,8.9,6.6,0.7,0.4,0.069,12.9,1.7,3.9,0.441,0.566,0.6,4.9
Roger Mason,0.461,7.7,8.8,0.1,0.1,0.029,12.3,1.0,3.0,0.338,0.442,0.8,2.9
Shelden Williams,0.638,14.4,9.5,0.6,0.1,0.188,11.6,1.2,2.3,0.538,0.538,0.8,3.9
Derrick Brown,0.717,9.7,6.9,0.2,0.1,0.13,11.0,1.5,2.3,0.667,0.75,0.5,4.3
Anthony Randolph,0.348,18.0,8.1,-0.4,0.2,-0.074,7.5,0.8,2.6,0.311,0.322,0.4,2.1
Renaldo Balkman,0.375,9.5,0.0,0.0,0.0,-0.05,6.0,0.3,1.3,0.25,0.375,0.0,1.0
Andy Rautins,0.508,2.4,18.7,-0.2,0.0,-0.314,4.8,0.6,1.4,0.429,0.5,0.6,1.6
Andre Iguodala,0.53,9.0,26.4,3.3,3.5,0.13,36.9,5.0,11.3,0.445,0.486,6.3,14.1
Jrue Holiday,0.525,6.6,29.0,2.2,3.5,0.094,35.4,5.4,12.2,0.446,0.487,6.5,14.0
Elton Brand,0.553,13.9,7.1,5.1,4.4,0.161,34.7,6.2,12.1,0.512,0.512,1.5,15.0
Jodie Meeks,0.6,4.8,5.7,3.2,1.9,0.12,27.9,3.3,7.7,0.425,0.546,1.1,10.5
Thaddeus Young,0.566,11.7,6.7,3.2,3.0,0.139,26.0,5.6,10.3,0.541,0.544,1.0,12.7
Lou Williams,0.54,4.9,24.1,3.5,1.6,0.141,23.3,4.3,10.6,0.406,0.462,3.4,13.7
Evan Turner,0.484,9.8,13.4,0.0,2.2,0.06,23.0,2.9,6.8,0.425,0.439,2.0,7.2
Spencer Hawes,0.481,15.6,11.2,-0.3,2.6,0.066,21.2,3.3,7.0,0.465,0.473,1.5,7.2
Andrés Nocioni,0.538,10.5,7.4,0.2,1.1,0.067,17.2,2.2,5.1,0.426,0.502,0.8,6.1
Marreese Speights,0.532,16.5,7.0,0.7,1.0,0.11,11.5,2.3,4.5,0.495,0.497,0.5,5.4
Craig Brackins,0.25,7.0,4.6,-0.1,0.0,-0.154,11.0,1.3,5.3,0.25,0.25,0.3,2.7
Tony Battie,0.489,15.1,4.8,0.0,0.6,0.075,9.9,1.2,2.5,0.469,0.479,0.3,2.6
Antonio Daniels,0.51,8.2,7.9,0.0,0.0,0.044,8.8,0.5,1.3,0.4,0.4,0.5,1.5
Darius Songaila,0.477,8.1,4.1,-0.1,0.1,-0.019,7.1,0.7,1.5,0.467,0.467,0.2,1.6
Jason Kapono,0.277,5.7,5.0,-0.3,0.1,-0.07,4.7,0.3,1.2,0.25,0.268,0.2,0.7
Deron Williams,0.463,7.1,55.9,0.3,0.3,0.066,38.0,4.9,14.1,0.349,0.396,12.8,15.0
Brook Lopez,0.549,10.0,8.8,4.4,1.9,0.105,35.2,7.9,16.0,0.492,0.492,1.6,20.4
Anthony Morrow,0.573,5.5,6.3,2.6,0.4,0.078,32.0,4.8,10.7,0.45,0.539,1.2,13.2
Devin Harris,0.543,4.4,41.2,2.6,0.9,0.096,31.9,4.8,11.3,0.425,0.452,7.6,15.0
Travis Outlaw,0.469,8.1,5.8,-0.4,1.2,0.016,28.8,3.3,8.9,0.375,0.427,1.0,9.2
Sasha Vujačić,0.518,6.7,13.6,1.2,1.0,0.066,28.5,4.1,10.2,0.404,0.486,2.3,11.4
Kris Humphries,0.555,22.1,7.0,2.7,2.7,0.125,27.9,4.1,7.9,0.527,0.527,1.1,10.0
Jordan Farmar,0.504,5.7,34.9,0.8,1.0,0.05,24.6,3.5,8.9,0.392,0.475,5.0,9.6
Terrence Williams,0.433,10.3,25.6,-0.6,0.1,-0.102,20.6,2.9,7.3,0.397,0.425,3.1,6.7
Derrick Favors,0.54,16.1,3.2,0.9,1.0,0.083,19.5,2.5,4.9,0.511,0.511,0.4,6.3
