,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Mario West,0.474,5.6,13.2,0.1,0.1,0.069,19.3,1.5,3.5,0.429,0.452,1.7,3.7
Stephen Graham,0.457,7.6,6.5,-0.7,0.4,-0.014,16.3,1.4,3.4,0.405,0.418,0.7,3.4
Damion James,0.477,12.5,8.1,-0.4,0.5,0.015,16.1,1.8,4.1,0.447,0.447,0.8,4.4
Troy Murphy,0.389,15.4,9.2,-0.4,0.3,-0.022,16.0,1.4,4.2,0.342,0.368,0.9,3.6
Sundiata Gaines,0.484,9.7,28.9,0.0,0.1,0.046,14.6,2.0,4.8,0.417,0.458,2.5,5.5
Dan Gadzuric,0.417,17.4,2.9,-0.2,0.2,0.015,11.9,1.2,2.9,0.415,0.415,0.2,2.8
Johan Petro,0.452,14.0,8.4,-0.7,1.1,0.024,11.6,1.7,3.8,0.445,0.445,0.6,3.5
Brandan Wright,0.472,15.4,6.2,0.2,0.2,0.107,11.5,1.4,3.4,0.407,0.407,0.4,3.6
Ben Uzoh,0.468,8.2,26.7,0.2,0.2,0.054,10.4,1.5,3.4,0.424,0.434,1.6,3.8
Quinton Ross,0.437,5.0,4.3,-0.1,0.1,-0.007,9.8,0.7,1.6,0.441,0.441,0.3,1.6
Joe Smith,0.25,7.1,5.8,-0.1,0.0,-0.159,6.3,0.3,1.0,0.25,0.25,0.3,0.5
Orien Greene,0.521,0.0,37.8,0.0,0.0,0.293,1.7,0.3,0.7,0.5,0.5,0.3,1.0
Andrea Bargnani,0.533,8.6,8.8,2.2,0.3,0.052,35.7,8.0,17.8,0.448,0.48,1.8,21.4
DeMar DeRozan,0.53,6.5,8.6,2.8,0.5,0.055,34.8,6.6,14.1,0.467,0.469,1.8,17.2
José Calderón,0.522,5.7,43.0,3.2,0.4,0.084,30.9,3.9,8.8,0.44,0.487,8.9,9.8
James Johnson,0.517,10.0,16.1,0.2,0.4,0.044,28.0,3.6,7.8,0.464,0.48,3.0,9.2
Jarrett Jack,0.492,7.2,25.9,-0.1,0.1,0.002,26.7,3.7,9.4,0.393,0.41,4.5,10.8
Reggie Evans,0.466,25.6,6.4,0.5,0.8,0.077,26.6,1.4,3.4,0.408,0.408,1.3,4.4
Linas Kleiza,0.502,10.2,6.2,-0.5,0.2,-0.012,26.5,4.6,10.4,0.438,0.486,1.0,11.2
Amir Johnson,0.608,14.7,6.8,4.4,1.2,0.146,25.7,3.9,6.9,0.568,0.568,1.1,9.6
Ed Davis,0.583,17.1,3.8,2.9,1.1,0.119,24.6,3.3,5.7,0.576,0.576,0.6,7.7
Leandro Barbosa,0.539,4.2,14.6,1.4,0.1,0.052,24.1,5.1,11.3,0.45,0.505,2.1,13.3
Sonny Weems,0.492,6.4,11.6,-0.4,0.0,-0.013,23.9,3.9,8.7,0.444,0.461,1.8,9.2
Jerryd Bayless,0.545,6.6,27.4,1.7,0.1,0.064,22.5,3.4,7.8,0.429,0.479,4.0,10.0
Sundiata Gaines,0.465,5.3,19.5,-0.1,0.0,-0.05,15.0,2.5,5.8,0.429,0.471,1.8,5.8
Julian Wright,0.525,9.1,11.0,0.2,0.4,0.038,14.7,1.6,3.1,0.513,0.519,1.1,3.6
David Andersen,0.559,13.4,7.3,0.1,0.1,0.063,13.6,2.1,4.3,0.489,0.521,0.6,5.1
Joey Dorsey,0.529,21.6,7.4,0.2,0.5,0.072,12.1,1.2,2.3,0.525,0.525,0.6,3.1
Trey Johnson,0.418,5.1,20.2,-0.1,0.0,-0.048,11.6,1.4,4.3,0.333,0.35,1.6,4.0
Peja Stojaković,0.919,8.1,9.5,0.1,0.0,0.242,11.0,3.5,5.0,0.7,0.9,0.5,10.0
Alexis Ajinça,0.53,13.6,4.9,0.0,0.2,0.042,11.0,2.0,4.2,0.465,0.51,0.3,4.8
Marcus Banks,0.543,2.7,17.2,0.0,0.0,0.011,7.3,0.0,0.7,0.0,0.0,1.0,2.0
Solomon Alabi,0.189,14.1,4.6,-0.2,0.0,-0.142,4.9,0.3,1.3,0.2,0.2,0.2,0.5
Ronald Dupree,0.25,13.7,10.7,0.0,0.0,-0.094,4.3,0.3,1.3,0.25,0.25,0.3,0.7
Luol Deng,0.549,8.7,11.9,4.7,5.2,0.149,39.1,6.5,14.1,0.46,0.51,2.8,17.4
Derrick Rose,0.55,6.4,38.7,8.3,4.8,0.208,37.4,8.8,19.7,0.445,0.485,7.7,25.0
Joakim Noah,0.579,18.5,10.7,3.1,3.6,0.205,32.8,4.4,8.4,0.525,0.525,2.2,11.7
Carlos Boozer,0.542,17.6,14.3,1.9,3.9,0.149,31.9,7.3,14.3,0.51,0.51,2.5,17.5
Kurt Thomas,0.527,15.0,7.4,0.7,2.6,0.131,22.7,1.8,3.6,0.511,0.513,1.2,4.1
Ronnie Brewer,0.518,8.6,12.1,1.7,3.8,0.147,22.0,2.5,5.3,0.48,0.487,1.7,6.2
Taj Gibson,0.502,15.4,5.3,1.4,3.8,0.143,21.8,2.9,6.3,0.466,0.467,0.7,7.1
Kyle Korver,0.572,5.3,12.1,2.7,2.4,0.149,20.1,3.0,6.8,0.434,0.542,1.5,8.3
Keith Bogans,0.559,5.9,10.1,1.4,2.2,0.118,17.8,1.5,3.7,0.404,0.55,1.2,4.4
C.J. Watson,0.466,5.0,26.9,0.2,2.0,0.093,13.3,1.8,4.8,0.371,0.426,2.3,4.9
Ömer Aşık,0.559,18.1,4.7,0.5,2.2,0.13,12.1,1.0,1.7,0.553,0.553,0.4,2.8
James Johnson,0.449,11.4,18.1,-0.4,0.3,-0.014,9.5,1.3,3.2,0.415,0.439,1.1,3.2
John Lucas III,0.258,0.0,15.0,0.0,0.0,-0.121,5.0,0.5,1.5,0.333,0.333,0.5,1.0
Brian Scalabrine,0.526,5.3,10.4,0.0,0.2,0.071,4.9,0.6,1.1,0.526,0.526,0.3,1.1
Rasual Butler,0.727,2.3,0.0,0.0,0.0,0.107,4.3,1.0,1.8,0.545,0.727,0.0,2.7
Danny Granger,0.554,8.5,13.0,3.7,3.2,0.12,35.0,6.8,15.9,0.425,0.487,2.6,20.5
Darren Collison,0.534,5.3,28.9,2.1,2.2,0.087,29.9,5.0,11.0,0.457,0.481,5.1,13.2
Roy Hibbert,0.507,15.1,12.8,0.3,3.3,0.077,27.7,5.1,11.0,0.461,0.461,2.0,12.7
Mike Dunleavy,0.593,9.1,10.1,2.6,1.9,0.129,27.6,3.9,8.5,0.462,0.56,1.7,11.2
Brandon Rush,0.54,6.9,5.6,0.9,1.7,0.07,26.2,3.2,7.7,0.421,0.512,0.9,9.1
Josh McRoberts,0.608,13.3,15.0,2.6,2.2,0.147,22.2,2.9,5.4,0.547,0.576,2.1,7.4
Tyler Hansbrough,0.529,13.2,4.7,2.2,1.6,0.118,21.9,4.1,8.8,0.465,0.465,0.6,11.0
Paul George,0.542,9.8,8.3,0.5,1.9,0.091,20.7,2.9,6.5,0.453,0.505,1.1,7.8
T.J. Ford,0.434,5.8,28.4,-0.7,0.8,0.011,18.9,2.2,5.8,0.386,0.398,3.4,5.4
James Posey,0.485,9.7,6.1,0.0,1.0,0.056,17.1,1.7,4.9,0.336,0.475,0.7,4.9
Jeff Foster,0.497,20.7,7.3,1.6,1.4,0.152,16.8,1.4,3.0,0.479,0.479,0.8,3.3
A.J. Price,0.454,5.0,22.7,-0.4,0.7,0.02,15.9,2.3,6.4,0.356,0.42,2.2,6.5
Solomon Jones,0.469,11.9,8.5,-0.2,0.6,0.042,13.5,1.3,3.1,0.405,0.405,0.8,3.6
Dahntay Jones,0.558,6.1,9.5,0.6,0.6,0.102,13.1,2.2,4.8,0.467,0.5,0.7,6.3
Lance Stephenson,0.41,8.7,28.3,-0.4,0.1,-0.093,9.6,1.1,3.3,0.333,0.333,1.8,3.1
Andrew Bogut,0.496,18.3,10.4,0.3,5.1,0.112,35.3,5.6,11.4,0.495,0.495,2.0,12.8
John Salmons,0.51,6.1,17.5,0.9,3.4,0.081,35.0,5.1,12.3,0.415,0.462,3.5,14.0
Brandon Jennings,0.493,6.3,25.9,0.6,3.3,0.086,34.4,5.7,14.7,0.39,0.443,4.8,16.2
Carlos Delfino,0.517,7.3,12.1,0.9,2.6,0.105,32.4,4.1,10.5,0.39,0.492,2.3,11.5
Luc Mbah a Moute,0.518,11.7,5.3,1.5,3.3,0.109,26.5,2.5,5.4,0.463,0.463,0.9,6.7
Ersan İlyasova,0.516,14.1,6.6,1.1,2.7,0.121,25.1,3.7,8.5,0.436,0.471,0.9,9.5
Drew Gooden,0.487,16.1,10.3,0.3,1.5,0.101,24.6,4.5,10.3,0.431,0.435,1.3,11.3
Keyon Dooling,0.509,3.9,23.4,0.8,2.1,0.08,22.0,2.6,6.5,0.397,0.475,3.0,7.1
Corey Maggette,0.573,10.0,11.3,1.5,1.9,0.115,20.9,3.8,8.3,0.453,0.478,1.3,12.0
Chris Douglas-Roberts,0.517,5.8,9.8,0.4,1.3,0.088,20.1,2.7,6.2,0.429,0.456,1.1,7.3
Earl Boykins,0.526,3.7,30.9,1.1,1.1,0.125,15.1,2.7,6.2,0.443,0.482,2.5,7.2
Larry Sanders,0.448,11.9,3.2,-0.7,1.8,0.057,14.5,1.9,4.5,0.433,0.433,0.3,4.3
Michael Redd,0.47,3.5,15.6,0.0,0.1,0.048,13.4,1.8,4.5,0.4,0.444,1.2,4.4
Earl Barron,0.475,15.1,9.2,0.1,0.1,0.13,12.1,2.4,5.3,0.459,0.459,0.6,5.1
Jon Brockman,0.567,15.8,4.2,0.8,1.0,0.132,10.7,0.8,1.5,0.511,0.511,0.3,2.2
Garrett Temple,0.373,4.2,11.6,-0.1,0.1,-0.019,9.2,0.8,2.3,0.333,0.405,0.7,1.9
Brian Skinner,,0.0,0.0,0.0,0.0,0.023,3.0,0.0,0.0,,,0.0,0.0
Tayshaun Prince,0.511,7.9,14.4,2.9,0.4,0.062,32.8,6.1,12.8,0.473,0.49,2.8,14.1
Rodney Stuckey,0.544,6.0,27.5,4.4,0.6,0.111,31.2,5.2,11.8,0.439,0.455,5.2,15.5
Greg Monroe,0.575,16.5,7.5,4.7,1.9,0.143,27.8,3.8,6.9,0.551,0.551,1.3,9.4
Richard Hamilton,0.52,5.1,19.8,1.6,0.2,0.059,27.2,5.2,12.2,0.429,0.47,3.1,14.1
Ben Gordon,0.548,5.6,13.2,1.3,0.3,0.037,26.0,4.1,9.4,0.44,0.51,2.1,11.2
Tracy McGrady,0.503,9.1,23.6,1.0,1.1,0.061,23.4,3.2,7.1,0.442,0.471,3.5,8.0
Ben Wallace,0.442,17.3,8.1,0.5,1.4,0.072,22.9,1.2,2.8,0.45,0.453,1.3,2.9
Charlie Villanueva,0.553,10.8,5.0,2.1,1.0,0.091,21.9,4.1,9.3,0.442,0.53,0.6,11.1
Austin Daye,0.518,11.6,8.5,1.2,0.9,0.07,20.1,2.7,6.5,0.41,0.483,1.1,7.5
Will Bynum,0.524,4.0,28.6,1.1,0.4,0.066,18.4,3.0,6.7,0.448,0.468,3.2,7.9
Chris Wilcox,0.587,16.7,7.4,2.0,0.8,0.133,17.5,3.3,5.6,0.581,0.581,0.8,7.4
Jason Maxiell,0.51,11.4,2.7,0.0,0.4,0.024,16.3,1.6,3.3,0.492,0.492,0.3,4.2
DaJuan Summers,0.476,3.7,1.6,-0.3,0.0,-0.083,9.0,1.3,3.1,0.406,0.471,0.1,3.4
Antawn Jamison,0.516,11.7,9.6,1.5,1.1,0.067,32.9,6.7,15.6,0.427,0.479,1.7,18.0
Anderson Varejão,0.56,17.4,7.4,1.3,0.9,0.105,32.1,3.7,7.0,0.528,0.528,1.5,9.1
Mo Williams,0.471,5.2,42.8,-0.4,0.3,-0.005,29.6,4.9,12.8,0.385,0.424,7.1,13.3
Anthony Parker,0.505,6.0,16.7,0.9,0.6,0.034,29.0,3.1,7.7,0.399,0.476,3.0,8.3
J.J. Hickson,0.503,17.7,7.5,-0.2,1.7,0.032,28.2,5.4,11.7,0.458,0.458,1.1,13.8
Daniel Gibson,0.533,5.5,18.3,2.0,0.4,0.062,27.8,3.9,9.9,0.4,0.489,3.0,11.6
Ramon Sessions,0.559,6.9,35.0,3.8,0.6,0.099,26.3,4.5,9.6,0.466,0.468,5.2,13.3
Baron Davis,0.548,5.4,45.4,0.5,0.2,0.086,25.3,5.0,11.9,0.421,0.522,6.1,13.9
Alonzo Gee,0.552,9.3,5.5,0.6,0.5,0.052,24.3,2.7,5.9,0.462,0.498,0.8,7.4
Christian Eyenga,0.476,7.5,6.2,-0.8,0.5,-0.016,21.5,3.0,7.0,0.425,0.466,0.8,6.9
Jamario Moon,0.488,8.9,9.3,0.2,0.5,0.043,19.1,1.9,4.7,0.402,0.474,1.1,4.7
Luke Harangody,0.455,12.7,8.3,0.0,0.3,0.032,19.0,2.4,6.4,0.378,0.43,1.0,6.2
Samardo Samuels,0.498,13.0,4.2,-0.3,0.3,0.002,18.9,3.0,6.5,0.456,0.456,0.5,7.8
Manny Harris,0.486,8.6,14.8,-0.4,0.4,0.002,17.3,2.0,5.4,0.374,0.433,1.6,5.9
Ryan Hollins,0.642,9.0,3.6,1.3,0.5,0.072,16.9,1.9,3.1,0.598,0.598,0.4,5.3
Semih Erden,0.391,9.9,2.3,0.0,0.0,0.002,16.0,1.0,3.5,0.286,0.286,0.3,3.3
Joey Graham,0.518,8.2,5.2,-0.2,0.1,-0.004,15.0,2.1,4.6,0.458,0.483,0.5,5.2
Jawad Williams,0.396,7.1,9.0,-0.6,0.1,-0.067,15.0,1.6,4.8,0.325,0.377,0.8,4.0
Leon Powe,0.497,11.7,1.9,0.1,0.1,0.051,13.4,2.1,4.2,0.492,0.492,0.1,5.0
LeBron James,0.594,11.4,34.9,10.3,5.3,0.244,38.8,9.6,18.8,0.51,0.541,7.0,26.7
Dwyane Wade,0.581,10.2,23.5,8.1,4.7,0.218,37.1,9.1,18.2,0.5,0.523,4.6,25.5
Chris Bosh,0.569,13.6,8.9,6.1,4.3,0.177,36.3,6.8,13.7,0.496,0.499,1.9,18.7
Mike Bibby,0.601,5.0,14.1,0.4,0.6,0.084,26.5,2.5,5.7,0.437,0.595,2.5,7.3
Udonis Haslem,0.549,18.2,2.7,0.4,0.6,0.13,26.5,3.4,6.6,0.512,0.512,0.5,8.0
Mario Chalmers,0.538,5.5,16.8,0.7,2.3,0.089,22.6,2.2,5.5,0.399,0.506,2.5,6.4
Mike Miller,0.525,13.0,9.1,0.4,1.2,0.09,20.4,2.0,4.9,0.401,0.507,1.2,5.6
Carlos Arroyo,0.541,4.8,15.3,0.8,0.9,0.078,20.3,2.2,4.9,0.458,0.517,2.0,5.6
Joel Anthony,0.583,10.8,2.2,1.2,2.1,0.107,19.5,0.7,1.3,0.535,0.535,0.3,2.0
James Jones,0.629,6.1,4.1,3.0,1.7,0.145,19.1,1.8,4.3,0.422,0.6,0.5,5.9
Eddie House,0.535,5.6,10.0,1.0,1.2,0.108,17.5,2.3,5.7,0.399,0.505,1.1,6.5
Erick Dampier,0.591,12.9,3.8,0.5,1.4,0.109,16.0,1.0,1.7,0.584,0.584,0.4,2.5
Zydrunas Ilgauskas,0.531,14.9,3.6,1.0,1.9,0.122,15.9,2.3,4.4,0.508,0.508,0.4,5.0
Juwan Howard,0.495,12.2,5.8,0.2,0.8,0.074,10.4,1.0,2.2,0.44,0.44,0.4,2.4
Jamaal Magloire,0.585,22.9,2.8,0.3,0.3,0.172,8.8,0.7,1.2,0.591,0.591,0.2,1.9
Jerry Stackhouse,0.398,8.3,8.5,-0.1,0.1,0.005,7.1,0.4,1.7,0.25,0.292,0.4,1.7
Dexter Pittman,0.333,16.2,0.0,-0.1,0.0,-0.246,5.5,0.5,1.5,0.333,0.333,0.0,1.0
Dwight Howard,0.616,21.8,6.8,6.7,7.7,0.235,37.6,7.9,13.4,0.593,0.593,1.4,22.9
Jason Richardson,0.543,6.7,9.7,2.1,2.9,0.125,34.9,5.3,12.1,0.433,0.528,2.0,13.9
Hedo Türkoğlu,0.55,7.8,24.0,2.7,3.0,0.142,34.1,4.2,9.4,0.448,0.529,5.1,11.4
Rashard Lewis,0.524,7.6,5.9,0.3,1.2,0.091,32.4,4.5,10.8,0.419,0.5,1.2,12.2
Jameer Nelson,0.548,5.7,33.7,3.4,3.2,0.136,30.5,4.9,11.0,0.446,0.517,6.0,13.1
Vince Carter,0.557,7.9,17.3,1.1,1.0,0.151,30.2,5.7,12.1,0.47,0.521,2.9,15.1
Brandon Bass,0.571,12.5,5.0,3.2,3.1,0.153,26.1,4.4,8.5,0.515,0.515,0.8,11.2
JJ Redick,0.589,4.4,11.0,2.7,1.8,0.142,25.6,3.3,7.6,0.441,0.538,1.7,10.1
Ryan Anderson,0.591,14.5,6.2,4.0,2.5,0.216,22.3,3.5,8.2,0.43,0.558,0.8,10.6
Mickaël Piétrus,0.54,7.0,3.8,0.1,0.6,0.082,22.0,2.4,6.1,0.391,0.539,0.5,6.7
Gilbert Arenas,0.444,6.5,23.8,-1.6,1.7,0.007,21.8,2.8,8.2,0.344,0.406,3.2,8.0
Quentin Richardson,0.454,10.9,6.1,-0.2,1.5,0.067,16.8,1.5,4.5,0.341,0.424,0.7,4.4
Marcin Gortat,0.562,17.4,6.8,0.5,0.8,0.157,15.8,1.8,3.2,0.543,0.543,0.7,4.0
Chris Duhon,0.446,3.9,22.4,-0.7,0.9,0.014,15.2,1.0,2.5,0.38,0.43,2.3,2.5
Earl Clark,0.468,12.5,2.1,-0.3,0.7,0.038,11.9,1.7,3.8,0.441,0.441,0.2,4.1
Jason Williams,0.434,7.5,21.0,-0.1,0.3,0.053,10.7,0.8,2.4,0.342,0.434,1.5,2.1
Malik Allen,0.361,10.5,3.3,-0.1,0.2,0.046,9.9,0.6,1.7,0.355,0.355,0.2,1.3
Joe Johnson,0.517,6.9,24.0,2.5,1.8,0.08,35.5,7.1,16.1,0.443,0.481,4.7,18.2
Al Horford,0.587,16.0,17.5,6.4,3.7,0.179,35.1,6.7,12.0,0.557,0.558,3.5,15.3
Josh Smith,0.54,15.0,17.1,1.9,4.5,0.116,34.4,6.5,13.5,0.477,0.502,3.3,16.5
Jamal Crawford,0.545,3.4,17.7,1.9,1.4,0.071,30.2,4.8,11.5,0.421,0.489,3.2,14.2
Mike Bibby,0.57,5.1,18.9,1.9,1.2,0.089,29.9,3.4,7.9,0.435,0.563,3.6,9.4
Marvin Williams,0.551,10.1,7.6,2.3,1.7,0.102,28.7,3.8,8.3,0.458,0.493,1.4,10.4
Kirk Hinrich,0.53,4.7,17.9,0.2,0.5,0.05,28.6,3.3,7.7,0.432,0.519,3.3,8.6
Maurice Evans,0.492,6.0,5.4,0.3,0.6,0.05,17.8,1.7,4.3,0.393,0.463,0.6,4.5
Zaza Pachulia,0.562,16.1,7.0,1.5,1.6,0.118,15.7,1.4,2.9,0.461,0.461,0.7,4.4
Jeff Teague,0.521,6.4,23.3,0.4,1.2,0.083,13.8,1.9,4.3,0.438,0.467,2.0,5.2
Damien Wilkins,0.557,8.0,9.3,0.7,0.8,0.104,13.0,1.3,2.6,0.504,0.511,0.8,3.5
Jason Collins,0.539,10.4,5.3,0.1,0.5,0.049,12.1,0.7,1.4,0.479,0.486,0.4,2.0
Josh Powell,0.492,12.5,5.5,-0.7,0.5,-0.012,12.1,1.7,3.9,0.452,0.452,0.4,4.1
Jordan Crawford,0.421,10.5,16.0,-0.4,0.1,-0.09,10.0,1.7,4.8,0.351,0.409,0.9,4.2
Pape Sy,0.478,8.6,14.5,0.0,0.0,-0.047,7.0,0.7,2.0,0.333,0.333,0.7,2.3
