,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Dave Cowens,0.508,19.8,15.1,5.0,5.6,0.165,39.8,7.8,16.7,0.468,0.468,4.2,19.0
Jo Jo White,0.484,4.7,19.9,4.3,3.2,0.109,39.7,8.2,18.2,0.449,0.449,5.4,18.9
Charlie Scott,0.495,6.0,16.9,3.3,3.1,0.106,35.5,7.2,16.0,0.449,0.449,4.2,17.6
John Havlicek,0.508,5.9,15.3,4.7,2.7,0.137,34.2,6.6,14.8,0.45,0.45,3.7,17.0
Paul Silas,0.488,18.9,9.8,3.2,3.9,0.129,32.9,3.9,9.1,0.426,0.426,2.5,10.7
Steve Kuberski,0.527,13.0,6.7,1.2,1.0,0.12,14.7,2.1,4.6,0.467,0.467,0.7,5.4
Kevin Stacom,0.478,7.1,15.5,0.8,1.0,0.076,14.5,2.2,5.0,0.439,0.439,1.7,5.3
Glenn McDonald,0.439,6.5,9.5,0.0,1.2,0.053,13.6,2.5,6.1,0.419,0.419,0.9,5.6
Don Nelson,0.53,9.5,11.5,1.7,0.9,0.134,12.6,2.3,5.1,0.462,0.462,1.0,6.4
Jim Ard,0.422,16.7,7.3,-0.4,1.3,0.052,10.5,1.3,3.6,0.364,0.364,0.6,3.5
Tom Boswell,0.463,12.7,7.8,-0.1,0.3,0.029,7.9,1.2,2.7,0.441,0.441,0.5,2.7
Jerome Anderson,0.586,5.1,6.9,0.2,0.1,0.12,5.7,1.1,2.0,0.556,0.556,0.3,2.8
Ed Searcy,0.436,0.0,11.5,0.0,0.0,-0.086,3.0,0.5,1.5,0.333,0.333,0.3,1.5
Doug Collins,0.575,5.0,9.6,8.2,1.9,0.161,38.9,8.0,15.5,0.513,0.513,2.5,20.8
George McGinnis,0.482,15.9,18.7,3.1,5.5,0.139,38.3,8.4,20.2,0.417,0.417,4.7,23.0
Steve Mix,0.565,10.5,9.7,5.7,3.7,0.148,37.5,5.2,10.4,0.499,0.499,2.7,13.9
Fred Carter,0.447,4.8,19.1,1.1,2.2,0.053,36.5,8.1,19.4,0.417,0.417,4.5,18.9
Billy Cunningham,0.473,11.1,23.5,0.4,0.8,0.093,32.0,5.2,12.6,0.41,0.41,5.4,13.7
Harvey Catchings,0.464,14.5,4.5,0.0,2.3,0.065,23.1,1.4,3.2,0.426,0.426,0.8,3.5
Clyde Lee,0.477,15.4,5.3,0.7,1.6,0.076,18.0,1.6,3.6,0.436,0.436,0.7,3.9
Leroy Ellis,0.482,12.1,5.7,0.3,0.5,0.085,16.9,2.1,4.6,0.462,0.462,0.7,4.8
Joe Bryant,0.452,11.2,7.5,0.0,1.3,0.052,16.0,3.1,7.4,0.422,0.422,0.8,7.4
World B. Free,0.48,5.4,14.1,0.9,0.6,0.064,15.8,3.4,7.5,0.448,0.448,1.5,8.3
Connie Norman,0.446,6.0,12.4,0.3,0.5,0.046,12.6,2.8,6.5,0.434,0.434,1.0,5.9
Wali Jones,0.538,2.8,26.3,0.1,0.1,0.059,9.8,1.2,2.4,0.5,0.5,1.9,2.9
Freddie Boyd,0.363,2.9,7.5,0.0,0.0,-0.041,5.5,0.3,1.0,0.333,0.333,0.3,0.8
Jerry Baskerville,0.393,12.9,3.6,-0.2,0.2,-0.019,5.0,0.4,1.2,0.308,0.308,0.1,1.2
Darryl Dawkins,0.486,14.3,2.9,-0.1,0.2,0.041,4.5,1.1,2.2,0.5,0.5,0.1,2.4
Bob McAdoo,0.542,15.1,15.7,7.7,4.6,0.178,42.7,12.0,24.6,0.487,0.487,4.0,31.1
Randy Smith,0.549,6.9,23.1,6.5,2.9,0.143,38.6,8.6,17.3,0.494,0.494,5.9,21.8
Jim McMillian,0.578,7.8,11.3,6.0,2.0,0.146,35.3,6.6,12.4,0.536,0.536,2.8,15.8
John Shumate,0.614,15.7,8.4,2.0,1.4,0.158,32.7,4.6,7.9,0.575,0.575,2.0,12.2
Gar Heard,0.45,17.5,11.0,-0.3,2.5,0.069,30.5,4.1,9.8,0.421,0.421,2.5,9.9
Ken Charles,0.505,5.1,12.3,1.0,2.2,0.07,27.7,4.0,8.9,0.456,0.456,2.5,10.1
Jack Marin,0.502,7.5,11.2,0.2,0.2,0.07,23.2,3.4,7.8,0.436,0.436,1.9,9.1
Ernie DiGregorio,0.437,4.3,25.9,-0.7,0.8,0.002,20.4,2.7,7.1,0.384,0.384,4.0,6.7
Bob Weiss,0.522,3.5,19.0,0.6,0.8,0.066,15.1,1.3,2.8,0.486,0.486,2.3,3.2
Tom McMillen,0.474,13.7,13.0,0.2,0.6,0.055,14.2,1.9,4.4,0.432,0.432,1.4,4.7
Don Adams,0.446,10.8,13.2,-0.5,0.8,0.023,12.6,1.2,3.0,0.394,0.394,1.3,3.1
Dick Gibbs,0.49,6.4,7.7,0.2,0.5,0.039,12.0,1.8,4.2,0.429,0.429,0.7,4.7
Dale Schlueter,0.558,15.1,12.9,0.3,0.9,0.076,10.9,0.9,1.7,0.5,0.5,1.1,2.5
