,ts_pct,trb_pct,ast_pct,ows,dws,ws_per_48,mp_per_g,fg_per_g,fga_per_g,fg_pct,efg_pct,ast_per_g,pts_per_g
Steve Kuberski,0.464,15.4,4.4,0.0,0.1,0.043,8.5,0.7,1.7,0.412,0.412,0.3,1.7
Jim Washington,0.0,7.5,16.2,0.0,0.0,-0.017,7.0,0.0,1.0,0.0,0.0,1.0,0.0
Walt Frazier,0.527,8.5,21.4,4.4,2.4,0.134,41.1,8.0,16.4,0.485,0.485,5.9,19.1
Earl Monroe,0.521,4.9,16.3,5.1,2.1,0.119,38.0,8.5,17.8,0.478,0.478,4.0,20.7
Spencer Haywood,0.497,15.6,4.8,3.5,3.4,0.114,37.1,7.8,17.4,0.445,0.445,1.2,19.9
Bill Bradley,0.471,4.4,12.6,1.0,1.5,0.044,33.0,4.8,11.0,0.433,0.433,3.0,11.1
John Gianelli,0.504,12.2,6.8,2.5,1.9,0.091,28.4,4.0,8.4,0.473,0.473,1.4,9.3
Butch Beard,0.53,9.5,16.2,1.8,1.5,0.11,24.2,3.2,6.8,0.475,0.475,2.9,8.4
Phil Jackson,0.53,12.1,9.7,0.9,1.6,0.082,18.3,2.3,4.8,0.478,0.478,1.3,6.0
Neal Walk,0.463,14.9,13.2,0.2,1.5,0.06,16.3,3.2,7.4,0.432,0.432,1.5,7.4
Jim Barnett,0.496,4.4,12.4,1.2,0.4,0.072,14.5,2.3,5.2,0.442,0.442,1.3,5.9
Mel Davis,0.423,18.7,11.1,-0.2,0.6,0.045,9.7,1.8,4.6,0.394,0.394,0.7,4.1
Harthorne Wingo,0.486,10.3,4.6,0.4,0.5,0.077,9.4,1.3,2.9,0.442,0.442,0.3,3.2
Dennis Bell,0.395,9.5,5.2,-0.1,0.1,0.009,7.6,0.8,2.1,0.381,0.381,0.3,1.9
Larry Fogle,0.2,11.0,0.0,-0.1,0.0,-0.163,7.0,0.5,2.5,0.2,0.2,0.0,1.0
Gene Short,0.381,11.4,5.9,-0.4,0.2,-0.046,6.9,1.0,3.0,0.325,0.325,0.3,2.6
Ken Mayfield,0.391,6.4,10.4,-0.2,0.0,-0.134,4.9,1.3,3.5,0.37,0.37,0.3,2.8
Jim Brewer,0.485,15.7,9.6,3.4,4.5,0.13,35.5,4.9,10.7,0.458,0.458,2.5,11.5
Jim Cleamons,0.509,6.4,20.5,4.2,2.9,0.12,34.6,5.0,10.8,0.466,0.466,5.2,12.2
Jim Chones,0.473,13.9,8.8,2.3,3.6,0.105,33.4,6.9,15.3,0.448,0.448,2.0,15.8
Bingo Smith,0.466,7.5,9.9,1.5,2.3,0.077,28.9,6.1,13.8,0.442,0.442,1.9,13.6
Dick Snyder,0.538,4.5,14.0,4.4,1.8,0.131,27.7,5.4,10.7,0.501,0.501,2.7,12.6
Campy Russell,0.534,9.0,8.6,4.7,2.0,0.164,23.9,5.9,12.2,0.482,0.482,1.3,15.0
Austin Carr,0.481,5.3,14.3,1.7,0.9,0.097,19.7,4.2,9.6,0.442,0.442,1.9,10.1
Nate Thurmond,0.441,15.6,7.7,0.1,1.9,0.082,17.4,1.9,4.5,0.418,0.418,1.0,4.6
Butch Beard,0.456,8.7,23.7,0.1,0.3,0.073,17.0,2.3,6.0,0.389,0.389,3.0,6.5
Foots Walker,0.444,7.3,29.2,0.4,1.9,0.088,15.8,1.8,4.6,0.388,0.388,3.6,4.6
Steve Patterson,0.448,10.6,8.6,0.0,0.2,0.074,9.7,1.1,2.7,0.395,0.395,0.6,2.7
John Lambert,0.487,15.7,6.5,0.3,0.5,0.108,6.2,0.9,2.0,0.445,0.445,0.3,2.3
Rowland Garrett,0.429,10.0,7.2,-0.1,0.4,0.054,5.3,1.2,3.1,0.402,0.402,0.2,2.9
Luke Witte,0.402,19.7,5.2,-0.1,0.2,0.026,4.5,0.5,1.5,0.344,0.344,0.2,1.4
Eric Fernsten,0.0,5.7,0.0,0.0,0.0,-0.176,2.3,0.0,0.5,0.0,0.0,0.0,0.0
Wes Unseld,0.574,18.4,18.5,4.3,5.2,0.156,37.5,4.1,7.3,0.561,0.561,5.2,9.6
Elvin Hayes,0.501,15.3,6.4,2.2,5.9,0.131,37.2,8.1,17.3,0.47,0.47,1.5,19.8
Phil Chenier,0.528,5.6,13.6,4.9,3.9,0.143,36.9,8.2,16.9,0.483,0.483,3.2,19.9
Dave Bing,0.511,4.2,24.2,3.4,2.9,0.102,35.9,6.1,13.6,0.447,0.447,6.0,16.2
Truck Robinson,0.501,14.1,8.0,0.9,3.4,0.099,25.1,4.3,9.5,0.454,0.454,1.4,11.2
Mike Riordan,0.464,5.0,8.9,-0.1,1.8,0.042,24.9,3.7,8.5,0.44,0.44,1.6,8.4
Jimmy Jones,0.541,6.0,14.6,1.1,1.1,0.095,17.7,2.4,4.8,0.497,0.497,1.9,5.9
Nick Weatherspoon,0.513,13.1,7.7,0.7,1.7,0.108,16.9,3.4,7.2,0.476,0.476,0.9,8.3
Clem Haskins,0.588,3.8,15.1,1.6,0.7,0.148,13.4,2.7,4.9,0.55,0.55,1.3,6.4
Kevin Grevey,0.44,6.2,7.6,-0.3,0.5,0.011,9.0,1.4,3.8,0.371,0.371,0.5,3.8
Tom Kozelko,0.512,7.3,7.3,0.0,0.7,0.057,8.7,0.7,1.5,0.485,0.485,0.5,1.7
Tom Kropp,0.291,10.8,14.6,-0.3,0.1,-0.16,2.9,0.3,1.2,0.233,0.233,0.3,0.8
Mike Newlin,0.577,5.9,20.9,7.5,0.9,0.133,37.4,6.9,13.7,0.507,0.507,5.6,18.6
Rudy Tomjanovich,0.551,12.4,9.4,6.1,1.2,0.12,36.9,7.9,15.2,0.517,0.517,2.4,18.5
Calvin Murphy,0.556,3.8,29.6,7.7,1.1,0.141,36.5,8.2,16.7,0.493,0.493,7.3,21.0
Ed Ratleff,0.54,8.6,14.1,3.0,1.5,0.09,33.3,4.4,9.0,0.485,0.485,3.6,11.1
Kevin Kunnert,0.505,18.3,9.5,2.6,2.2,0.099,29.2,5.8,11.9,0.487,0.487,1.9,12.9
Joe Meriweather,0.526,13.7,5.5,2.3,1.6,0.09,25.2,4.2,8.4,0.494,0.494,1.0,10.2
John Johnson,0.486,10.7,18.6,1.1,0.9,0.066,22.2,4.1,9.1,0.452,0.452,2.9,9.7
Ron Riley,0.44,15.7,9.1,-0.1,0.9,0.033,16.1,1.8,4.3,0.411,0.411,1.2,4.1
Dave Wohl,0.461,4.3,19.9,-0.2,0.2,-0.003,14.0,1.3,3.3,0.405,0.405,2.2,3.4
Cliff Meely,0.415,16.2,8.1,-0.2,0.2,-0.01,12.4,2.3,5.8,0.395,0.395,0.7,5.2
Rudy White,0.451,7.2,14.1,0.0,0.2,0.036,8.9,1.3,3.2,0.412,0.412,0.9,3.2
Gus Bailey,0.392,10.3,19.8,-0.2,0.2,-0.004,8.7,0.9,2.6,0.364,0.364,1.4,2.3
Steve Hawes,0.385,19.1,24.5,0.0,0.0,0.005,8.5,0.8,2.2,0.385,0.385,1.7,1.7
Pete Maravich,0.524,6.3,23.8,4.8,2.3,0.144,38.3,9.7,21.2,0.459,0.459,5.4,25.9
Louie Nelson,0.481,4.9,12.2,1.3,1.6,0.069,30.8,5.0,11.4,0.433,0.433,2.6,12.5
Otto Moore,0.473,16.4,12.4,0.5,4.4,0.099,29.7,3.6,8.3,0.436,0.436,2.7,9.0
E.C. Coleman,0.474,11.3,6.5,0.4,2.1,0.065,27.6,3.2,7.1,0.451,0.451,1.3,7.3
Ron Behagen,0.494,15.9,12.1,1.8,2.5,0.118,26.3,4.7,10.5,0.446,0.446,2.1,11.5
Nate Williams,0.493,9.3,8.8,1.8,2.4,0.106,23.9,5.2,11.7,0.444,0.444,1.3,12.8
Henry Bibby,0.5,5.0,18.3,1.6,1.4,0.079,22.4,3.4,7.9,0.428,0.428,2.8,9.3
Jim McElroy,0.556,4.8,13.3,1.7,0.9,0.108,22.2,3.0,5.8,0.51,0.51,2.1,7.5
Freddie Boyd,0.461,2.6,18.6,0.0,0.5,0.037,19.5,2.4,5.5,0.436,0.436,2.6,5.7
Bud Stallworth,0.472,6.9,7.9,0.1,0.9,0.049,18.8,3.8,8.6,0.437,0.437,0.9,9.1
Aaron James,0.495,9.2,6.8,1.0,1.2,0.079,17.9,3.5,7.9,0.441,0.441,0.8,9.0
Rich Kelley,0.562,19.5,16.3,2.4,2.4,0.171,17.9,2.5,5.1,0.485,0.485,2.1,7.0
Mel Counts,0.449,15.6,16.4,-0.1,0.6,0.062,10.6,1.2,3.0,0.407,0.407,1.3,3.0
Tom Henderson,0.454,4.7,19.2,0.8,1.3,0.035,35.8,5.8,14.0,0.413,0.413,4.6,14.2
Lou Hudson,0.516,6.0,13.7,4.6,1.3,0.111,31.6,7.0,14.9,0.472,0.472,2.6,17.0
John Drew,0.57,14.5,10.9,8.2,2.4,0.216,30.5,7.6,15.2,0.502,0.502,1.9,21.6
Tom Van Arsdale,0.477,4.7,10.9,1.1,0.5,0.038,27.0,4.6,10.5,0.441,0.441,1.9,10.9
Dwight Jones,0.521,15.3,6.8,2.2,1.7,0.104,26.7,3.8,8.2,0.463,0.463,1.3,10.1
Connie Hawkins,0.497,12.0,15.7,1.7,1.8,0.087,25.8,3.2,7.2,0.447,0.447,2.9,8.2
Mike Sojourner,0.5,14.5,5.3,1.3,1.3,0.079,23.9,3.7,7.8,0.473,0.473,0.9,8.6
John Brown,0.512,11.8,10.1,1.7,1.0,0.072,23.4,2.9,6.5,0.442,0.442,1.7,7.9
Dean Meminger,0.46,5.5,21.6,0.5,0.4,0.033,20.9,2.3,5.6,0.409,0.409,3.3,6.0
Bill Willoughby,0.445,17.1,5.1,0.1,1.0,0.063,14.0,1.8,4.6,0.398,0.398,0.5,4.7
Wilbur Holland,0.421,6.0,12.5,-0.3,0.2,-0.018,10.6,2.6,6.5,0.399,0.399,0.8,5.8
Dennis DuVal,0.383,3.2,21.4,-0.2,0.1,-0.039,10.0,1.2,3.3,0.349,0.349,1.5,2.8
Jim Creighton,0.31,13.5,3.0,-0.4,0.1,-0.063,5.4,0.4,1.3,0.279,0.279,0.1,1.0
Bob Dandridge,0.545,10.3,11.9,6.4,2.6,0.158,37.5,8.9,17.8,0.502,0.502,2.8,21.5
Elmore Smith,0.545,16.6,5.0,4.1,4.7,0.149,36.0,6.4,12.3,0.518,0.518,1.2,15.6
Brian Winters,0.496,4.6,20.1,3.1,1.9,0.085,35.8,7.9,17.1,0.464,0.464,4.7,18.2
Jim Price,0.454,5.4,21.9,0.3,2.3,0.049,31.6,5.0,12.0,0.415,0.415,4.9,11.7
Dave Meyers,0.47,14.6,8.4,0.3,2.1,0.072,22.1,2.8,6.6,0.419,0.419,1.4,7.4
Junior Bridgeman,0.485,9.3,13.7,0.8,1.2,0.06,20.3,3.5,8.0,0.439,0.439,1.9,8.6
Kevin Restani,0.481,11.9,8.0,0.9,1.3,0.065,20.1,2.9,6.0,0.475,0.475,1.2,6.0
Gary Brokaw,0.511,4.4,23.6,1.3,0.7,0.064,19.6,3.2,6.9,0.457,0.457,3.3,8.4
Clyde Mayes,0.489,14.4,5.2,0.2,0.9,0.053,14.6,1.8,3.8,0.46,0.46,0.6,4.4
Jim Fox,0.572,13.3,6.0,1.3,0.9,0.116,13.1,1.5,2.9,0.517,0.517,0.6,3.9
Jon McGlocklin,0.443,2.6,16.5,0.1,0.1,0.023,10.2,1.9,4.5,0.426,0.426,1.2,4.1
Mickey Davis,0.445,10.6,12.2,0.0,0.3,0.036,9.1,1.2,3.4,0.362,0.362,0.8,3.6
Curtis Rowe,0.513,12.0,8.5,4.5,1.7,0.099,37.5,6.4,13.7,0.468,0.468,2.3,16.0
Bob Lanier,0.579,16.3,13.9,7.3,2.8,0.205,36.9,8.5,15.9,0.532,0.532,3.4,21.3
Kevin Porter,0.462,3.3,37.6,0.2,0.3,0.036,36.2,5.2,12.4,0.421,0.421,10.2,12.6
Eric Money,0.508,4.7,21.5,2.8,1.5,0.09,28.3,5.6,11.8,0.474,0.474,4.2,13.0
Chris Ford,0.452,6.8,16.4,0.3,2.4,0.058,26.8,3.7,8.6,0.426,0.426,3.3,8.4
Al Eberhard,0.483,9.8,5.3,1.1,1.5,0.06,25.5,3.5,8.4,0.414,0.414,1.0,9.3
Archie Clark,0.478,4.5,18.7,1.0,0.7,0.051,20.1,3.2,7.3,0.433,0.433,2.8,7.6
Howard Porter,0.494,10.3,2.4,1.4,0.9,0.076,19.8,4.0,8.5,0.469,0.469,0.3,8.9
Wali Jones,0.364,0.0,15.5,0.0,0.0,-0.03,19.0,4.0,11.0,0.364,0.364,2.0,8.0
John Mengelt,0.559,5.4,15.0,2.7,0.5,0.14,16.5,3.9,8.1,0.489,0.489,1.6,10.7
Roger Brown,0.45,14.8,3.2,0.0,0.4,0.038,15.7,1.0,2.5,0.403,0.403,0.4,2.5
George Trapp,0.483,10.8,7.2,0.8,0.8,0.068,14.4,3.7,7.9,0.462,0.462,0.7,8.1
Lindsay Hairston,0.492,14.2,4.4,0.3,0.7,0.075,13.9,2.2,4.9,0.456,0.456,0.4,5.8
Earl Williams,0.49,23.1,4.2,0.5,0.8,0.114,12.2,1.6,3.3,0.48,0.48,0.4,3.7
Henry Dickerson,0.388,1.4,8.8,-0.2,0.0,-0.07,6.6,0.5,1.7,0.31,0.31,0.5,1.6
Terry Thomas,0.495,13.7,3.2,0.1,0.1,0.082,4.9,1.0,2.3,0.431,0.431,0.1,2.8
Tiny Archibald,0.521,3.4,31.1,6.7,1.3,0.121,40.8,9.2,20.3,0.453,0.453,7.9,24.8
Sam Lacey,0.452,17.0,17.2,0.4,4.7,0.079,38.1,5.0,12.6,0.401,0.401,4.7,12.8
Scott Wedman,0.492,10.4,10.1,2.6,2.2,0.079,36.2,6.6,14.4,0.456,0.456,2.4,15.5
Jimmy Walker,0.538,3.6,10.7,4.3,0.9,0.101,34.1,6.3,13.0,0.483,0.483,2.4,15.7
Ollie Johnson,0.552,8.5,9.9,3.4,1.4,0.107,26.5,4.3,8.4,0.513,0.513,1.8,10.1
Larry McNeill,0.546,16.2,6.7,2.6,1.8,0.129,19.7,3.6,7.4,0.484,0.484,0.9,9.7
Bill Robinzine,0.514,13.7,6.7,0.8,1.6,0.087,17.7,3.1,6.7,0.459,0.459,0.8,8.0
Glenn Hansen,0.457,8.3,8.4,0.0,0.8,0.032,17.3,2.6,6.4,0.412,0.412,1.0,6.5
Matt Guokas,0.391,4.7,10.5,-0.3,0.1,-0.01,13.6,1.0,2.6,0.374,0.374,1.1,2.2
Mike D'Antoni,0.287,7.1,20.4,-0.2,0.1,-0.047,11.2,0.8,3.0,0.259,0.259,1.8,1.8
Len Kosmalski,0.433,13.7,17.0,0.0,0.1,0.041,10.3,0.9,2.2,0.4,0.4,1.3,2.2
Lee Winfield,0.506,5.7,12.8,0.2,0.2,0.084,9.7,1.5,3.0,0.485,0.485,0.9,3.3
Rick Roberson,0.417,16.8,10.1,-0.7,0.8,0.002,9.6,1.0,2.4,0.406,0.406,0.7,2.5
Bob Bigelow,0.455,9.1,7.4,0.0,0.1,0.014,5.3,0.5,1.5,0.34,0.34,0.3,1.8
Norm Van Lier,0.424,6.8,24.8,-0.2,3.3,0.051,39.8,4.8,13.0,0.366,0.366,6.6,12.6
Bob Love,0.455,9.1,8.7,2.2,2.3,0.076,37.1,7.1,18.3,0.39,0.39,1.9,19.1
Mickey Johnson,0.52,16.0,9.3,4.8,3.6,0.167,29.5,5.9,12.8,0.463,0.463,1.6,15.3
Jerry Sloan,0.456,9.5,5.5,0.2,0.7,0.068,28.0,3.8,9.5,0.4,0.4,1.0,10.1
Tom Boerwinkle,0.533,19.5,21.1,3.2,3.0,0.147,27.6,3.6,7.2,0.5,0.5,3.8,8.8
Jack Marin,0.469,6.6,12.1,1.4,1.2,0.078,24.3,4.5,10.7,0.421,0.421,1.8,11.0
Rowland Garrett,0.505,11.7,3.5,0.5,0.3,0.125,23.1,4.1,9.4,0.435,0.435,0.5,10.9
John Laskowski,0.441,7.0,5.8,0.2,1.5,0.051,22.1,4.0,9.7,0.412,0.412,0.8,9.2
Leon Benbow,0.443,5.6,15.4,0.1,1.4,0.045,20.9,2.9,7.3,0.397,0.397,2.1,7.1
Nate Thurmond,0.454,13.8,14.1,0.1,0.4,0.081,20.0,1.5,3.5,0.444,0.444,2.0,3.7
Cliff Pondexter,0.472,14.5,10.2,0.6,1.6,0.081,17.7,2.1,5.1,0.411,0.411,1.2,5.8
Matt Guokas,0.514,2.9,15.4,0.3,0.1,0.079,15.4,2.0,4.1,0.486,0.486,1.6,4.5
Steve Patterson,0.407,12.9,13.0,-0.1,0.8,0.042,15.0,1.3,3.5,0.379,0.379,1.4,3.2
Bobby Wilson,0.425,5.5,10.9,-0.4,0.6,0.013,14.8,3.4,8.4,0.403,0.403,0.9,7.5
Eric Fernsten,0.459,13.4,11.2,0.2,0.4,0.098,7.8,1.0,2.5,0.393,0.393,0.6,2.8
John Block,0.41,14.4,0.0,0.0,0.0,-0.121,3.5,1.0,2.0,0.5,0.5,0.0,2.0
Rick Barry,0.483,7.6,22.6,4.6,5.1,0.148,38.5,8.7,20.0,0.435,0.435,6.1,21.0
Phil Smith,0.525,6.4,18.7,6.3,3.1,0.161,34.1,8.0,16.9,0.477,0.477,4.4,20.0
Jamaal Wilkes,0.499,12.7,8.7,4.1,4.3,0.147,33.1,7.5,16.3,0.463,0.463,2.0,17.8
Clifford Ray,0.558,17.0,8.2,3.0,4.0,0.154,26.6,2.6,4.9,0.525,0.525,1.8,6.9
Gus Williams,0.473,4.4,19.3,1.6,2.6,0.117,22.4,4.7,11.1,0.428,0.428,3.1,11.7
George Johnson,0.517,17.2,5.6,1.3,3.8,0.138,21.3,2.0,4.2,0.484,0.484,1.0,4.9
Charles Johnson,0.485,6.2,11.1,1.6,2.1,0.116,19.1,4.2,9.0,0.467,0.467,1.5,9.2
Charles Dudley,0.575,8.9,20.4,2.6,2.0,0.151,17.8,2.2,4.2,0.528,0.528,2.9,6.4
Derrek Dickey,0.494,13.9,9.2,1.4,1.7,0.122,15.3,2.8,6.0,0.465,0.465,1.1,6.4
Dwight Davis,0.471,12.4,6.6,0.3,1.2,0.084,12.0,1.5,3.7,0.413,0.413,0.6,4.2
Jeff Mullins,0.524,4.9,16.9,0.5,0.3,0.134,10.7,2.0,4.1,0.483,0.483,1.3,4.8
Bubbles Hawkins,0.536,9.4,17.9,0.4,0.3,0.196,4.8,1.7,3.3,0.51,0.51,0.5,3.9
Slick Watts,0.457,6.8,32.2,0.9,3.8,0.08,33.9,5.3,12.4,0.427,0.427,8.1,13.0
Fred Brown,0.529,6.5,13.7,6.6,2.2,0.167,33.1,9.8,20.0,0.488,0.488,2.7,23.1
Leonard Gray,0.505,9.6,13.3,2.2,2.0,0.092,32.4,6.0,12.6,0.474,0.474,3.1,13.8
Tom Burleson,0.533,14.5,9.6,5.0,3.2,0.148,32.3,6.0,12.6,0.481,0.481,2.2,15.6
Bruce Seals,0.475,10.7,6.6,0.8,2.1,0.057,30.1,4.8,11.0,0.436,0.436,1.5,11.8
Mike Bantom,0.518,12.6,9.0,1.5,1.2,0.088,22.8,3.2,6.8,0.471,0.471,1.5,8.4
Herm Gilliam,0.473,6.9,17.2,1.2,1.4,0.078,20.3,3.7,8.3,0.442,0.442,2.5,8.5
Tal Skinner,0.489,11.1,7.0,0.7,1.2,0.074,17.0,1.8,4.0,0.463,0.463,0.9,4.3
Willie Norwood,0.569,11.8,7.8,2.0,0.9,0.141,15.7,2.3,4.7,0.485,0.485,0.9,6.9
John Hummer,0.476,10.9,8.5,-0.2,0.3,0.019,12.6,1.1,2.3,0.478,0.478,0.9,2.8
Frank Oleynick,0.439,3.6,11.6,-0.2,0.3,0.005,12.5,2.4,6.1,0.402,0.402,1.0,5.9
Al Carlson,0.392,13.5,5.8,-0.2,0.3,0.012,10.0,1.0,2.8,0.342,0.342,0.5,2.6
Zaid Abdul-Aziz,0.49,17.6,9.7,0.2,0.3,0.119,8.3,1.3,2.8,0.467,0.467,0.6,3.2
Rod Derline,0.464,4.1,11.3,0.2,0.2,0.049,6.9,1.5,3.7,0.403,0.403,0.5,3.9
Gene Short,0.547,9.8,7.4,0.0,0.0,0.08,5.3,0.9,1.6,0.545,0.545,0.3,1.9
Paul Westphal,0.551,4.8,23.3,6.3,3.2,0.155,36.1,8.0,16.2,0.494,0.494,5.4,20.5
Gar Heard,0.486,15.9,7.4,0.6,1.7,0.092,33.9,5.1,11.4,0.452,0.452,1.8,12.4
Alvan Adams,0.507,14.9,27.2,3.3,3.9,0.13,33.2,7.9,16.8,0.469,0.469,5.6,19.0
Curtis Perry,0.537,15.8,11.1,2.8,3.2,0.122,33.1,5.4,10.9,0.497,0.497,2.6,13.3
Dick Van Arsdale,0.555,4.0,10.5,3.1,0.9,0.102,32.2,4.8,9.8,0.484,0.484,2.4,12.9
Keith Erickson,0.518,9.7,14.4,2.0,1.8,0.098,25.0,4.1,8.8,0.47,0.47,2.5,10.1
Ricky Sobers,0.507,7.4,15.9,0.9,1.9,0.072,24.3,3.6,8.0,0.449,0.449,2.8,9.2
John Shumate,0.582,14.0,10.1,1.8,1.3,0.158,21.6,4.3,7.9,0.55,0.55,1.4,11.3
Dennis Awtrey,0.51,11.6,15.3,0.7,1.1,0.062,18.6,1.9,4.1,0.467,0.467,2.1,4.9
Nate Hawthorne,0.481,9.9,5.7,0.2,0.9,0.046,14.5,2.3,5.4,0.43,0.43,0.6,6.1
Pat Riley,0.434,3.2,10.0,-0.6,0.4,-0.017,13.2,1.9,4.8,0.389,0.389,1.0,4.6
Phil Lumpkin,0.448,3.4,16.2,0.0,0.2,0.022,10.9,0.6,1.9,0.338,0.338,1.4,2.1
Mike Bantom,0.372,18.4,5.9,-0.1,0.1,-0.02,9.7,1.1,3.7,0.308,0.308,0.4,3.0
Fred Saunders,0.45,13.8,13.3,-0.1,0.2,0.026,8.6,1.6,3.8,0.438,0.438,0.8,3.6
John Wetzel,0.566,8.3,9.9,0.2,0.2,0.083,6.7,0.6,1.2,0.478,0.478,0.5,1.7
Kareem Abdul-Jabbar,0.567,19.6,19.4,9.8,7.2,0.242,41.2,11.1,21.1,0.529,0.529,5.0,27.7
Gail Goodrich,0.495,3.9,23.4,3.5,1.5,0.092,35.3,7.8,17.6,0.441,0.441,5.6,19.5
Lucius Allen,0.501,4.3,21.1,2.4,1.5,0.079,31.4,6.1,13.2,0.459,0.459,4.7,14.7
Cornell Warner,0.509,13.8,5.3,1.8,2.6,0.083,31.0,3.1,6.5,0.479,0.479,1.3,7.3
Don Ford,0.471,8.7,8.3,0.7,1.2,0.051,24.2,4.1,9.3,0.438,0.438,1.5,9.6
